"Date","Keys","Clicks"
"2016-12-23",14819,4508
"2016-12-24",9117,4398
"2016-12-25",2418,372
"2016-12-26",2372,1452
"2016-12-27",3478,1878
"2016-12-28",3454,1474
"2016-12-29",3,17
