"Date","Keys","Clicks"
"2016-06-19",7478,3195
"2016-06-20",1777,1883
"2016-06-21",3624,2194
"2016-06-22",11818,5993
"2016-06-23",7266,3706
"2016-06-24",4626,3378
"2016-06-25",5,17
