"No value = similar as previous day for: Driving, Store and Stand/mov-ing around",,,,,,,,
year,month,day,time reading paper,time on ubuntu,Driving,Store,Riding Car Eyes,Comment
,,4,,,340,,,
,,5,,,120,,,
,,6,,,80,,,
,,7,,,45,,,
,,8,,,40,,,
,,9,,,60,,,
,,10,,,30,,,
,,11,,,40,,,
,,12,,,50,,,
,,13,,,70,,,
,,14,,,50,,,
,,15,,,60,,,
,,16,,,30,,,
,,17,,,80,,,
,,18,,,45,,,
,,19,,,42,,,
,,20,,,25,,,
,,21,,,35,,,
,,22,,,30,,,
,,23,,,35,,,
,,24,,,24,,,
,,25,,,60,,,
,,26,,,35,,,
,,27,,,330,,,
,,28,,,80,,,
,,29,,,330,,,
,,30,,,100,,,
,10,1,,,120,,,
,,2,,,90,,,
,,3,,,150,,,
,,4,,,100,,,
,,5,,,110,,,
,,6,,,160,,,
,,7,,,70,,,
,,8,,,50,,,
,,9,,,30,,,
,,10,,,50,,,
,,11,,,25,,,
,,12,,,25,,,
,,13,,,70,,,
,,14,,,45,,,
,,15,,,20,,,
,,16,,,240,,,
,,17,,,90,,,
,,18,,,25,,,
,,19,,,0,,,
,,20,,,15,,,
,,21,,,20,,20,
,,22,,,20,,,
,,23,,,20,,,
,,24,,,210,,,
,,25,,,22,,,
,,26,,,25,,,
,,27,,,25,,,
,,28,,,15,,,
,,29,,,110,,,
,,30,,,40,,,
,,31,,,25,,,
,11,1,,,25,,,
,,2,,,25,,,
,,3,,,40,,,
,,4,,,40,,,
,,5,,,10,,,
,,6,,,25,,25,
,,7,,,30,,,
,,8,,,15,,40,
,,9,,,30,,,
,,10,,,30,,,
,,11,,,25,,,
,,12,,,35,,,
,,13,,,30,,,
,,14,,,25,,,
,,15,,,20,,,
,,16,,,10,,,
,,17,,,20,,,
,,18,,,30,,,
,,19,,,20,,,
,,20,,,30,,,
,,21,,,30,,,
,,22,,,30,,,
,,23,,,30,,,
,,24,,,40,,,
,,25,,,20,,,
,,26,,,40,,,
,,27,,,40,,,
,,28,,,25,,,
,,29,,,50,,,
,,30,,20,14,,,
,12,1,40,,40,,,
,,2,,,20,,,
,,3,,,20,,,
,,4,,,25,,,
,,5,,,40,,,
,,6,,,15,,,
,,7,,,30,,,
,,8,,,20,,,
,,9,,,40,,,
,,10,,,25,,,
,,11,,,40,,,
,,12,,,30,,,
,,13,,,30,,,
,,14,,,40,,,
,,15,,,20,,,
,,16,,,20,,,
,,17,,100,20,,,
,,18,,,35,,,
,,19,,,20,,,
,,20,,20,35,,,
,,21,,,20,,,
,,22,,,100,,,
,,23,,,20,,,
,,24,,,20,,,
,,25,,,150,,,
,,26,,,25,,,
,,27,,,20,,,
,,28,,,140,,,
,,29,,,50,,,
,,30,,,90,,,
,,31,,,20,,,
