Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-03-2023","2700","10517","8,73","0","499","176","43","24","1239"
"02-03-2023","2407","7289","5,41","0","612","185","0","0","893"
"03-03-2023","2748","12217","9,07","0","673","198","33","29","1317"
"04-03-2023","2492","8375","6,22","0","234","179","8","16","1001"
"05-03-2023","2255","5045","3,49","0","681","146","5","7","718"
"06-03-2023","2713","12634","9,02","0","567","180","23","41","1264"
"07-03-2023","3019","13410","8,98","0","354","257","23","39","1665"
"08-03-2023","2183","4762","3,54","0","521","136","0","0","607"
"09-03-2023","3217","17237","12,76","0","627","197","52","83","1870"
"10-03-2023","2103","4698","3,49","0","725","104","0","0","515"
"11-03-2023","2414","9214","6,84","0","694","135","10","24","891"
"12-03-2023","2637","10974","8,04","0","653","136","47","28","1168"
"13-03-2023","2024","3869","2,87","0","736","95","0","0","428"
"14-03-2023","2358","8612","6,39","0","689","109","30","16","826"
"15-03-2023","2823","10720","7,96","0","700","170","49","39","1399"
"16-03-2023","2304","7229","5,37","0","769","102","11","32","758"
"17-03-2023","2337","7700","5,72","0","809","114","16","18","791"
"18-03-2023","2753","10003","7,42","0","716","180","24","30","1288"
"19-03-2023","2250","5118","3,75","0","916","142","0","0","670"
"20-03-2023","2262","6069","4,48","0","726","140","9","1","716"
"21-03-2023","1759","779","0,58","0","828","20","0","0","80"
"22-03-2023","2850","14233","10,56","0","1194","155","43","48","1418"
"23-03-2023","3236","11298","6,63","0","404","160","57","93","1836"
"24-03-2023","2940","15317","10,39","0","434","201","61","38","1563"
"25-03-2023","2600","10353","7,69","0","486","211","16","14","1140"
"26-03-2023","2623","9792","7,27","0","555","239","11","19","1207"
"27-03-2023","2194","5730","4,25","0","520","130","0","0","633"
"28-03-2023","2389","9332","6,93","0","604","101","18","35","862"
"29-03-2023","2316","6989","5,19","0","695","154","4","7","782"
"30-03-2023","2962","14039","10,42","0","312","216","46","32","1532"
"31-03-2023","2316","6445","4,23","0","633","136","14","10","789"

