Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-07-2021","2556","8634","6,42","7","1259","139","9","33","1053"
"02-07-2021","2369","6834","5,08","11","1267","148","13","12","819"
"03-07-2021","2257","5390","4","8","1303","112","1","24","722"
"04-07-2021","2501","7460","5,54","54","1114","126","14","42","1017"
"05-07-2021","2354","4923","3,66","17","1260","180","0","0","835"
"06-07-2021","2444","6484","4,82","10","1242","133","41","24","968"
"07-07-2021","2454","7406","5,5","58","1069","145","2","35","949"
"08-07-2021","2545","6615","4,91","15","1216","204","13","7","1050"
"09-07-2021","2278","3963","2,94","8","1122","172","0","0","744"
"10-07-2021","2660","7917","5,88","54","1016","148","23","35","1103"
"11-07-2021","2352","5077","3,77","9","1159","156","18","7","847"
"12-07-2021","2264","5151","3,83","28","1286","127","2","25","748"
"13-07-2021","2400","6802","5,05","61","1271","127","11","31","902"
"14-07-2021","2378","6467","4,8","40","1202","118","32","17","868"
"15-07-2021","2118","4854","3,61","8","1321","96","5","18","556"
"16-07-2021","2023","2893","2,15","3","1329","111","0","0","453"
"17-07-2021","2244","4331","3,22","10","1124","157","2","6","730"
"18-07-2021","2433","6206","4,61","11","988","209","8","3","968"
"19-07-2021","2368","7434","5,52","13","1265","118","22","35","877"
"20-07-2021","2337","6720","4,99","42","1266","139","9","26","844"
"21-07-2021","2650","8502","6,32","125","1234","133","21","52","1193"
"22-07-2021","2330","5495","4,08","33","1149","192","1","8","840"
"23-07-2021","2274","4371","3,25","19","1184","178","0","0","761"
"24-07-2021","2132","4854","3,61","4","1314","102","14","10","591"
"25-07-2021","2440","7772","5,77","69","1262","135","7","36","949"
"26-07-2021","2239","4967","3,69","5","1272","168","0","0","725"
"27-07-2021","2181","4057","3,01","3","1283","157","0","0","636"
"28-07-2021","2322","7283","5,41","19","1275","122","21","22","818"
"29-07-2021","2430","7642","5,68","64","1262","137","6","35","936"
"30-07-2021","2034","3344","2,48","2","1254","125","0","0","484"
"31-07-2021","2258","6181","4,59","9","1291","123","2","24","721"

