Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-06-2022","2469","7919","5,88","69","1260","140","5","35","966"
"02-06-2022","2343","5223","3,88","9","1236","114","2","25","795"
"03-06-2022","2403","6967","5,18","58","1270","145","2","23","884"
"04-06-2022","2224","3874","2,88","5","1278","152","10","0","686"
"05-06-2022","2082","2246","1,67","0","1330","96","2","12","503"
"06-06-2022","2548","8179","6,08","65","1241","151","18","30","1067"
"07-06-2022","2481","6594","4,9","2","1199","233","8","0","1027"
"08-06-2022","2251","5918","4,4","19","1314","86","11","29","688"
"09-06-2022","2309","6225","4,63","60","1199","114","5","30","767"
"10-06-2022","2398","7680","5,71","17","1252","159","2","27","896"
"11-06-2022","2166","4800","3,57","10","1299","131","1","9","619"
"12-06-2022","3007","11741","8,72","47","1129","271","26","14","1579"
"13-06-2022","2161","4729","3,51","24","1251","111","4","11","600"
"14-06-2022","2074","3428","2,55","5","1317","123","0","0","506"
"15-06-2022","1990","2219","1,65","4","1341","99","0","0","398"
"16-06-2022","2395","6698","4,98","59","1275","137","2","26","873"
"17-06-2022","2035","2889","2,15","1","1261","114","0","0","454"
"18-06-2022","2086","3235","2,4","1","1328","112","0","0","513"
"19-06-2022","2438","6284","4,67","22","1233","188","17","2","963"
"20-06-2022","2520","7547","5,61","3","1161","177","12","14","1016"
"21-06-2022","2095","4166","3,1","12","1316","110","6","8","538"
"22-06-2022","2635","8553","6,35","2","1288","115","0","37","864"
"23-06-2022","2091","4049","3,01","1","1328","112","0","0","500"
"24-06-2022","2511","9599","7,13","12","1231","180","13","16","1035"
"25-06-2022","2565","8520","6,33","13","1270","107","23","40","1034"
"26-06-2022","2110","4761","3,54","9","1336","89","3","12","516"
"27-06-2022","2567","11204","8,32","23","1264","109","4","63","1049"
"28-06-2022","2345","7688","5,71","28","1291","116","12","21","812"
"29-06-2022","2391","8183","6,08","19","1216","104","29","28","856"
"30-06-2022","2543","10479","7,79","34","1169","133","20","38","1025"

