Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-01-2022","2434","7111","5,28","13","1265","140","5","30","938"
"02-01-2022","2064","3671","2,73","9","1324","116","0","0","504"
"03-01-2022","2437","6992","5,2","72","1263","134","3","40","948"
"04-01-2022","2090","3270","2,43","11","1325","104","3","8","530"
"05-01-2022","2236","5164","3,84","35","1319","72","12","37","691"
"06-01-2022","2110","5599","4,16","9","1322","82","14","22","559"
"07-01-2022","2193","5885","4,37","36","1311","89","10","30","660"
"08-01-2022","2082","3504","2,6","5","1308","132","0","0","543"
"09-01-2022","2356","7041","5,23","25","1268","138","5","29","867"
"10-01-2022","2270","5828","4,33","25","1191","110","11","32","760"
"11-01-2022","2158","6132","4,56","28","1316","93","7","24","618"
"12-01-2022","2105","3608","2,68","9","1293","147","0","0","577"
"13-01-2022","2031","4075","3,03","7","1343","73","2","22","463"
"14-01-2022","2168","5804","4,31","16","1300","108","13","19","644"
"15-01-2022","1732","5289","3,93","24","1440","0","0","0","0"
"16-01-2022","1670","0","0","0","1440","0","0","0","0"
"17-01-2022","1670","0","0","0","1440","0","0","0","0"
"18-01-2022","1734","5289","3,93","24","1440","0","0","0","0"
"19-01-2022","2135","5123","3,81","21","1341","64","3","32","570"
"20-01-2022","2187","5785","4,3","28","1300","110","7","23","663"
"21-01-2022","2247","5681","4,22","51","1294","110","2","34","727"
"22-01-2022","2065","3916","2,91","3","1313","127","0","0","522"
"23-01-2022","2085","4289","3,19","6","1339","75","2","24","512"
"24-01-2022","2230","3292","2,45","7","1169","123","24","1","704"
"25-01-2022","2175","5584","4,15","12","1173","98","7","26","643"
"26-01-2022","2091","4800","3,57","9","1333","84","3","20","528"
"27-01-2022","2218","6900","5,13","25","1292","111","16","21","705"
"28-01-2022","2219","6314","4,69","24","1301","111","5","23","697"
"29-01-2022","2263","5587","4,15","46","1294","116","5","25","738"
"30-01-2022","2205","6070","4,51","22","1309","104","3","24","673"
"31-01-2022","1997","2963","2,2","3","1335","105","0","0","429"

