Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-05-2020","2,236","4,457","3.31","7","1,281","135","12","12","724"
"02-05-2020","2,354","6,684","4.97","10","1,060","166","3","17","867"
"03-05-2020","2,505","7,831","5.82","29","1,124","175","15","19","1,046"
"04-05-2020","2,551","7,830","5.82","73","1,248","164","1","27","1,070"
"05-05-2020","2,477","7,125","5.29","70","1,261","140","10","29","985"
"06-05-2020","2,410","6,192","4.6","15","1,232","208","0","0","944"
"07-05-2020","2,372","6,315","4.69","9","987","188","10","0","886"
"08-05-2020","2,251","6,026","4.48","11","1,293","121","11","15","715"
"09-05-2020","2,181","4,288","3.19","7","1,195","159","0","0","656"
"10-05-2020","2,350","3,791","2.82","1","1,228","212","0","0","889"
"11-05-2020","2,281","5,634","4.19","11","1,297","115","4","24","749"
"12-05-2020","2,452","7,345","5.46","26","1,249","157","2","32","967"
"13-05-2020","2,267","5,152","3.83","5","1,275","165","0","0","758"
"14-05-2020","2,646","9,908","7.36","56","1,152","156","23","46","1,200"
"15-05-2020","2,210","3,720","2.76","4","1,292","135","7","6","681"
"16-05-2020","2,540","5,916","4.4","18","1,106","274","0","0","1,101"
"17-05-2020","2,533","6,661","4.95","12","1,100","270","0","0","1,111"
"18-05-2020","2,519","7,355","5.46","63","1,238","157","8","37","1,056"
"19-05-2020","2,301","6,590","4.9","15","1,267","152","5","16","795"
"20-05-2020","2,331","5,850","4.35","42","1,277","134","5","24","818"
"21-05-2020","2,324","5,698","4.23","7","1,276","132","15","17","813"
"22-05-2020","2,653","7,451","5.54","52","1,169","244","7","20","1,191"
"23-05-2020","2,219","5,249","3.9","7","1,167","115","3","22","673"
"24-05-2020","2,293","5,892","4.38","58","1,304","97","7","32","752"
"25-05-2020","2,413","6,976","5.18","11","1,182","170","1","25","932"
"26-05-2020","2,803","10,943","8.13","35","1,209","152","13","66","1,357"
"27-05-2020","2,458","7,937","5.9","25","1,244","150","13","33","988"
"28-05-2020","1,836","1,582","1.18","0","922","59","0","0","221"
"29-05-2020","2,425","6,372","4.73","9","1,159","212","0","0","943"
"30-05-2020","2,625","8,500","6.32","29","1,246","116","34","44","1,135"
"31-05-2020","2,174","3,946","2.93","2","1,299","141","0","0","623"
