Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-05-2022","2757","10979","8,15","23","1220","150","20","50","1289"
"02-05-2022","2371","7435","5,52","7","1198","157","14","7","854"
"03-05-2022","2189","4021","2,98","5","1303","137","0","0","615"
"04-05-2022","2291","4846","3,6","2","1334","106","0","0","443"
"05-05-2022","2291","4846","3,59","8","1284","146","10","0","724"
"06-05-2022","2425","6905","5,13","14","1290","134","10","6","648"
"07-05-2022","2425","6905","5,12","14","1236","204","0","0","922"
"08-05-2022","2445","6807","5,06","8","1163","153","5","23","873"
"09-05-2022","2396","7630","5,67","32","1266","131","13","30","891"
"10-05-2022","2647","8807","6,54","51","1206","183","16","35","1203"
"11-05-2022","2389","5919","4,4","12","1233","207","0","0","896"
"12-05-2022","2378","6203","4,61","48","1271","132","6","31","856"
"13-05-2022","2513","7191","5,34","49","1129","156","3","33","1008"
"14-05-2022","2448","6630","4,93","11","1129","250","0","0","996"
"15-05-2022","2178","4224","3,14","3","1312","128","0","0","594"
"16-05-2022","3082","14060","10,51","17","1077","179","21","61","1637"
"17-05-2022","2366","6704","4,98","9","1207","108","12","21","771"
"18-05-2022","2494","8343","6,2","11","1173","158","17","15","953"
"19-05-2022","2143","4262","3,17","2","1290","150","0","0","605"
"20-05-2022","2170","4527","3,36","18","1428","12","0","0","55"
"21-05-2022","2344","5638","4,19","5","1440","0","0","0","0"
"22-05-2022","2632","8881","6,6","68","1280","124","9","27","900"
"23-05-2022","2424","6708","4,98","42","1268","132","13","27","891"
"24-05-2022","2260","5226","3,88","16","1279","139","12","10","729"
"25-05-2022","2414","6640","4,93","62","1288","118","5","29","868"
"26-05-2022","1917","1718","1,28","1","1357","83","0","0","311"
"27-05-2022","2126","3590","2,67","7","1297","133","9","1","576"
"28-05-2022","2697","8343","6,2","64","1182","203","18","37","1262"
"29-05-2022","2108","4091","3,04","2","1235","141","0","0","558"
"30-05-2022","2369","6577","4,89","62","1272","145","1","22","848"
"31-05-2022","2337","6880","5,11","30","1267","145","13","15","826"

