Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-04-2023","2641","11665","8,66","0","1143","199","16","16","1184"
"02-04-2023","2340","7101","5,27","0","555","151","5","13","806"
"03-04-2023","2506","9778","7,26","0","636","182","7","14","1025"
"04-04-2023","2895","11548","8,19","0","663","297","2","10","1500"
"05-04-2023","2696","8521","6,06","0","849","129","0","0","553"
"06-04-2023","1915","1026","0,76","0","1408","0","14","18","257"
"07-04-2023","1829","1432","1,06","0","1409","31","0","0","166"
"08-04-2023","2916","13835","10,27","16","1166","236","12","26","1489"
"09-04-2023","2369","4497","3,34","0","983","139","10","9","840"
"10-04-2023","3295","12722","9,45","16","831","192","15","95","1797"
"11-04-2023","2576","7594","5,64","8","766","140","11","47","1053"
"12-04-2023","2778","9756","7,25","16","408","213","14","25","1298"
"13-04-2023","2663","7506","5,58","26","863","142","16","46","1176"
"14-04-2023","2649","7213","5,36","55","344","173","18","32","1169"
"15-04-2023","2576","8325","6,19","25","755","185","9","27","1097"
"16-04-2023","2386","6038","4,49","20","470","113","2","33","837"
"17-04-2023","2364","6613","4,91","24","643","108","1","36","807"
"18-04-2023","2467","6551","4,87","64","778","106","7","42","925"
"19-04-2023","2635","6204","4,61","12","807","185","29","13","1142"
"20-04-2023","2401","5720","4,24","5","537","132","9","24","875"
"21-04-2023","2414","5972","2,85","59","577","147","6","27","893"
"22-04-2023","2557","6918","3,23","72","675","174","8","35","1074"
"23-04-2023","2616","5631","2,32","8","690","163","39","41","1178"
"24-04-2023","2280","7253","5,38","18","591","128","2","38","759"
"25-04-2023","2205","4754","2,94","17","847","148","9","5","671"
"26-04-2023","2633","6008","4,06","13","1057","191","0","10","965"
"27-04-2023","2505","8724","6,48","11","1105","168","16","17","1006"
"28-04-2023","2791","8016","3,23","0","1440","0","0","0","0"
"29-04-2023","1696","2007","1,49","0","1440","0","0","0","0"
"30-04-2023","1695","0","0","0","1440","0","0","0","0"

