Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-02-2021","3101","13282","9,87","72","1131","180","77","52","1743"
"02-02-2021","2346","6010","4,47","38","1279","153","4","4","794"
"03-02-2021","2407","6056","4,5","9","1269","139","16","16","888"
"04-02-2021","1999","3264","2,43","1","1359","72","6","3","405"
"05-02-2021","1939","2581","1,92","1","1357","83","0","0","346"
"06-02-2021","1981","4093","3,04","6","1367","38","25","10","388"
"07-02-2021","1846","1866","1,39","0","1391","49","0","0","219"
"08-02-2021","2067","5150","3,83","7","1343","68","12","17","502"
"09-02-2021","1973","2269","1,69","1","1366","45","23","6","376"
"10-02-2021","2063","4984","3,7","4","1342","87","6","5","488"
"11-02-2021","2055","4995","3,71","8","1357","44","15","24","471"
"12-02-2021","2009","3812","2,83","3","1365","43","12","20","416"
"13-02-2021","2055","4581","3,4","3","1350","57","26","7","475"
"14-02-2021","1962","3112","2,31","2","1370","60","8","2","355"
"15-02-2021","2101","4664","3,47","4","1333","86","20","1","536"
"16-02-2021","2076","5607","4,17","7","1347","58","21","14","500"
"17-02-2021","2010","4793","3,56","12","1367","30","22","21","415"
"18-02-2021","2108","5752","4,27","11","1342","62","17","19","541"
"19-02-2021","1767","885","0,66","0","1415","25","0","0","112"
"20-02-2021","2109","5699","4,23","4","1340","54","31","15","545"
"21-02-2021","2852","11858","8,81","107","1150","268","16","6","1468"
"22-02-2021","2355","5784","4,3","40","1254","177","5","4","862"
"23-02-2021","2011","3553","2,64","10","1347","82","7","4","431"
"24-02-2021","1937","3218","2,39","3","1434","6","0","0","26"
"25-02-2021","2123","5547","4,12","6","1366","41","22","11","418"
"26-02-2021","2009","4254","3,16","5","1359","54","17","10","413"
"27-02-2021","1880","2809","2,09","4","1394","28","13","5","254"
"28-02-2021","2002","2260","1,68","3","1355","68","15","2","380"

