Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-08-2021","2348","8389","6,23","19","1247","152","25","16","880"
"02-08-2021","2566","8883","6,6","63","1210","190","8","32","1134"
"03-08-2021","2222","6278","4,66","19","1293","118","14","15","703"
"04-08-2021","2290","6369","4,73","10","1190","148","1","22","795"
"05-08-2021","1702","233","0,17","0","1430","10","0","0","36"
"06-08-2021","2171","5103","3,79","42","1315","107","2","16","625"
"07-08-2021","2014","3085","2,29","3","1322","118","0","0","456"
"08-08-2021","2024","3323","2,47","3","1314","126","0","0","481"
"09-08-2021","2753","9603","7,14","35","1147","261","13","19","1345"
"10-08-2021","2638","9717","7,22","51","1183","230","8","19","1199"
"11-08-2021","2230","5142","3,82","14","1110","190","0","0","728"
"12-08-2021","2200","5814","4,32","16","1296","123","3","18","672"
"13-08-2021","2389","7057","5,24","12","1249","163","10","18","893"
"14-08-2021","2510","9382","6,97","53","1244","119","40","37","1043"
"15-08-2021","2389","6319","4,7","11","1183","139","3","29","877"
"16-08-2021","2537","9849","7,32","36","1214","161","45","20","1095"
"17-08-2021","2237","6179","4,59","16","1286","126","8","20","721"
"18-08-2021","2273","6094","4,53","10","1192","148","2","11","765"
"19-08-2021","2370","8001","5,94","18","1268","143","5","24","870"
"20-08-2021","2426","7928","5,89","63","1259","142","7","32","943"
"21-08-2021","2444","7694","5,72","62","1248","152","12","28","961"
"22-08-2021","2947","10579","7,86","48","1063","167","97","43","1607"
"23-08-2021","2047","3744","2,78","23","1330","96","2","12","491"
"24-08-2021","2453","8028","5,96","49","1143","187","3","28","1016"
"25-08-2021","2341","6080","4,52","10","1228","212","0","0","880"
"26-08-2021","2352","6601","4,9","12","1240","200","0","0","889"
"27-08-2021","2256","5633","4,19","8","1280","137","3","20","758"
"28-08-2021","2640","9090","6,75","80","1201","191","20","28","1218"
"29-08-2021","2472","7045","5,23","63","1237","166","7","30","1012"
"30-08-2021","2363","6906","5,13","55","1265","136","4","35","874"
"31-08-2021","2463","8722","6,48","16","1213","204","5","18","1034"

