Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-12-2022","2298","5471","4,06","0","525","147","4","6","727"
"02-12-2022","2425","7419","5,51","0","674","192","5","10","927"
"03-12-2022","3397","14831","10,64","0","544","204","78","63","2038"
"04-12-2022","2253","4804","2,96","0","1093","70","33","19","691"
"05-12-2022","2647","8754","6,5","0","574","147","25","36","1136"
"06-12-2022","2199","3576","2,65","0","720","63","4","25","595"
"07-12-2022","2166","4753","3,48","0","731","101","3","6","565"
"08-12-2022","2992","12786","9,39","0","664","177","57","33","1553"
"09-12-2022","2164","4608","3,42","0","895","103","0","11","568"
"10-12-2022","2863","14464","11,58","0","619","125","46","67","1417"
"11-12-2022","2486","8064","5,99","0","706","159","8","23","990"
"12-12-2022","2719","10589","7,86","0","388","123","52","40","1250"
"13-12-2022","2585","8431","6,2","0","765","202","8","12","1122"
"14-12-2022","2829","13711","10,18","0","619","169","20","68","1418"
"15-12-2022","2519","10582","7,85","0","565","175","9","27","1049"
"16-12-2022","2676","11619","8,62","0","503","185","20","37","1215"
"17-12-2022","2096","3886","2,88","0","487","107","0","0","508"
"18-12-2022","2836","13665","10,02","0","636","153","32","57","1392"
"19-12-2022","2463","9279","6,89","0","512","124","16","41","937"
"20-12-2022","2518","9533","7,08","0","511","148","8","39","1017"
"21-12-2022","2692","9062","5,6","0","497","200","18","33","1260"
"22-12-2022","2314","6542","4,86","0","520","147","6","21","796"
"23-12-2022","2132","3882","2,88","0","459","112","0","11","565"
"24-12-2022","2214","4823","3,58","0","727","101","17","21","656"
"25-12-2022","2760","12737","9,48","0","450","173","33","42","1314"
"26-12-2022","2387","8902","6,61","0","357","80","23","42","846"
"27-12-2022","2702","13188","9,79","0","590","147","36","56","1258"
"28-12-2022","2691","12128","9","0","573","115","30","61","1198"
"29-12-2022","2315","6028","4,37","0","671","155","9","12","794"
"30-12-2022","2940","11016","8,18","0","668","257","21","22","1511"
"31-12-2022","3054","8726","3,38","0","424","217","17","48","1625"

