Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-01-2023","2975","12985","9,28","0","703","230","13","39","1507"
"02-01-2023","3068","13976","10,31","0","553","316","20","12","1692"
"03-01-2023","2439","6599","4,66","0","666","139","15","19","886"
"04-01-2023","3201","13741","10,2","0","633","308","49","23","1861"
"05-01-2023","2333","6295","4,47","1","712","161","8","6","787"
"06-01-2023","2026","3168","2,35","0","773","92","0","0","421"
"07-01-2023","2831","10177","7,56","14","632","149","27","58","1354"
"08-01-2023","2384","6532","4,85","7","1171","96","17","18","795"
"09-01-2023","3417","16186","12,04","36","443","175","48","84","1989"
"10-01-2023","3187","13456","10","4","581","216","38","55","1777"
"11-01-2023","2320","5377","4","7","598","122","10","16","755"
"12-01-2023","2399","5639","4,19","6","742","140","10","16","846"
"13-01-2023","2324","5846","4,34","8","853","105","12","20","748"
"14-01-2023","3082","14469","10,75","8","633","208","22","59","1648"
"15-01-2023","2740","11018","8,19","5","443","124","46","46","1253"
"16-01-2023","3092","11038","8,2","4","654","120","52","75","1661"
"17-01-2023","2351","5378","4","0","615","149","4","5","798"
"18-01-2023","2456","5983","4,45","11","930","112","20","21","875"
"19-01-2023","2370","5428","4,03","8","624","163","6","3","840"
"20-01-2023","3038","13935","10,35","49","674","91","24","109","1586"
"21-01-2023","2658","8166","5,95","5","612","199","23","24","1184"
"22-01-2023","2656","10537","7,82","0","602","197","30","19","1199"
"23-01-2023","2719","9839","6,46","0","619","191","45","22","1279"
"24-01-2023","2372","5047","3,47","0","565","131","10","23","842"
"25-01-2023","2643","9804","7,28","0","546","178","49","13","1164"
"26-01-2023","2812","9741","6,47","0","543","236","14","21","1369"
"27-01-2023","3229","13022","9,67","2","525","225","35","65","1840"
"28-01-2023","2552","5815","4,32","0","557","117","39","38","1043"
"29-01-2023","2482","7706","5,72","5","796","179","6","14","962"
"30-01-2023","2586","10209","7,58","0","442","144","13","42","1087"
"31-01-2023","2648","8928","6,35","1","1130","168","24","35","1168"

