Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-11-2022","2699","10146","6,38","0","787","154","32","44","1214"
"02-11-2022","2747","10211","5,27","0","511","128","36","60","1268"
"03-11-2022","2839","9661","6,42","0","768","111","67","57","1394"
"04-11-2022","2447","6341","4,09","0","478","170","17","13","943"
"05-11-2022","2493","7284","4,91","0","572","168","8","20","979"
"06-11-2022","2847","13123","9,49","0","546","189","21","63","1414"
"07-11-2022","3444","17543","13,6","0","1056","238","64","82","2146"
"08-11-2022","2173","4700","3,49","0","1319","111","2","8","603"
"09-11-2022","2720","9618","6,75","0","1200","192","13","35","1233"
"10-11-2022","2320","5527","3,14","0","508","100","22","19","755"
"11-11-2022","2800","9259","6,87","0","442","175","33","40","1357"
"12-11-2022","2714","11047","7,44","0","641","155","45","35","1232"
"13-11-2022","2788","10835","8,04","0","593","200","6","35","1306"
"14-11-2022","2439","7526","5,39","0","826","164","16","9","907"
"15-11-2022","2523","7517","5,36","0","640","157","13","20","1000"
"16-11-2022","2935","10623","7,47","0","692","158","49","59","1493"
"17-11-2022","2645","8745","6,17","0","678","198","17","15","1155"
"18-11-2022","2786","13439","10,01","0","1205","149","35","51","1307"
"19-11-2022","2841","13037","9,57","0","606","170","56","41","1389"
"20-11-2022","2476","6536","4,65","0","699","152","20","18","939"
"21-11-2022","2372","6209","4,46","0","760","133","21","14","836"
"22-11-2022","3280","12635","8,31","0","586","223","40","70","1899"
"23-11-2022","2632","7084","5,18","0","645","172","25","32","1142"
"24-11-2022","2492","6755","4,63","0","608","150","13","24","962"
"25-11-2022","2429","6226","4,29","0","707","180","3","10","910"
"26-11-2022","2960","11696","8,68","0","484","224","33","37","1532"
"27-11-2022","2738","8206","5,55","0","573","187","16","25","1237"
"28-11-2022","2974","12632","9,23","0","612","220","29","47","1570"
"29-11-2022","3025","12282","9,12","0","589","207","34","47","1603"
"30-11-2022","2423","6528","4,53","0","748","121","18","32","875"

