Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-10-2021","2467","8034","5,97","84","1141","139","7","41","986"
"02-10-2021","2090","4268","3,17","5","1327","113","0","0","494"
"03-10-2021","2121","4687","3,48","5","1316","100","5","19","581"
"04-10-2021","2059","3645","2,71","6","1246","125","0","0","513"
"05-10-2021","2453","8332","6,19","52","1249","132","24","35","982"
"06-10-2021","2196","4510","3,35","3","1272","168","0","0","691"
"07-10-2021","2685","10308","7,66","30","1217","178","14","31","1185"
"08-10-2021","2225","4889","3,63","9","1305","100","8","27","694"
"09-10-2021","2225","4340","3,22","4","1264","176","0","0","720"
"10-10-2021","2336","6535","4,86","67","1288","110","5","37","820"
"11-10-2021","2184","4527","3,36","7","1286","154","0","0","669"
"12-10-2021","2362","6362","4,73","69","1215","116","3","34","827"
"13-10-2021","2222","5909","4,39","24","1315","84","5","36","681"
"14-10-2021","2395","6876","5,11","64","1199","124","3","29","880"
"15-10-2021","2193","4568","3,39","11","1286","154","0","0","665"
"16-10-2021","2414","6786","5,04","78","1268","120","10","42","925"
"17-10-2021","2178","4279","3,18","6","1316","114","3","7","578"
"18-10-2021","2011","3473","2,58","5","1321","119","0","0","463"
"19-10-2021","1843","1601","1,19","1","1384","56","0","0","218"
"20-10-2021","2090","3832","2,85","18","1322","118","0","0","525"
"21-10-2021","2085","4183","3,11","6","1322","118","0","0","526"
"22-10-2021","1675","54","0,04","0","1438","2","0","0","7"
"23-10-2021","1670","0","0","0","1440","0","0","0","0"
"24-10-2021","1961","5386","4","5","1440","0","0","0","0"
"25-10-2021","1714","363","0,27","0","1424","16","0","0","61"
"26-10-2021","2008","3024","2,25","3","1342","98","0","0","435"
"27-10-2021","2147","4245","3,15","7","1292","148","0","0","620"
"28-10-2021","2077","4012","2,98","6","1251","126","0","0","526"
"29-10-2021","2186","5262","3,91","15","1283","144","10","3","675"
"30-10-2021","2359","5211","3,87","6","1227","195","16","2","862"
"31-10-2021","2500","6022","4,47","23","1209","197","21","13","968"

