Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-05-2021","2106","5968","4,43","4","1338","63","29","10","536"
"02-05-2021","2010","4520","3,36","6","1361","44","22","13","414"
"03-05-2021","2062","4934","3,67","10","1341","70","22","7","495"
"04-05-2021","2131","5589","4,15","13","1331","74","11","24","576"
"05-05-2021","2027","4970","3,69","6","1361","36","21","22","438"
"06-05-2021","1975","4342","3,23","6","1370","36","17","17","373"
"07-05-2021","2035","5075","3,77","6","1362","35","20","23","444"
"08-05-2021","2125","6803","5,05","4","1341","42","31","26","555"
"09-05-2021","2113","6120","4,55","6","1345","39","28","28","540"
"10-05-2021","2331","6882","5,11","13","1269","133","15","23","802"
"11-05-2021","2498","8326","6,19","38","1236","161","34","9","1028"
"12-05-2021","2010","2892","2,15","11","1345","95","0","0","416"
"13-05-2021","2138","5967","4,43","7","1335","61","26","18","577"
"14-05-2021","2017","4528","3,36","5","1361","43","26","10","430"
"15-05-2021","1963","3880","2,88","2","1377","30","17","16","356"
"16-05-2021","2139","6229","4,63","5","1333","61","27","19","572"
"17-05-2021","1997","4387","3,26","4","1365","43","14","18","403"
"18-05-2021","2168","7070","5,25","7","1329","57","16","38","613"
"19-05-2021","2001","4067","3,02","2","1353","63","21","3","417"
"20-05-2021","2840","6329","4,7","13","1228","66","44","102","1394"
"21-05-2021","2283","7299","5,42","21","1292","108","28","12","748"
"22-05-2021","1750","775","0,58","2","1417","23","0","0","100"
"23-05-2021","2116","5805","4,31","10","1355","33","25","27","516"
"24-05-2021","1843","1811","1,35","2","1395","45","0","0","215"
"25-05-2021","2063","5696","4,23","9","1356","35","26","23","473"
"26-05-2021","2297","5981","4,44","11","1268","138","24","10","786"
"27-05-2021","2850","10181","7,56","12","1184","187","28","41","1394"
"28-05-2021","2973","13295","9,88","26","1146","184","66","44","1587"
"29-05-2021","1913","2383","1,77","17","1371","69","0","0","297"
"30-05-2021","2241","6266","4,66","11","1304","103","9","24","709"
"31-05-2021","2421","8776","6,52","22","1271","122","26","21","929"

