Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-07-2022","2612","9917","7,37","16","1233","178","13","16","1099"
"02-07-2022","3208","16482","12,25","52","1161","150","51","78","1797"
"03-07-2022","2604","11182","8,31","8","1239","151","18","32","1122"
"04-07-2022","2658","10754","7,99","9","1242","137","13","48","1170"
"05-07-2022","2933","13481","10,02","17","1210","135","16","79","1486"
"06-07-2022","2318","6441","4,79","11","1296","115","10","19","751"
"07-07-2022","2703","8740","6,49","11","1261","115","9","55","1187"
"08-07-2022","2499","7380","5,48","3","1234","196","8","2","975"
"09-07-2022","2374","5454","4,05","8","1214","226","0","0","892"
"10-07-2022","2143","3711","2,76","2","1315","116","7","2","569"
"11-07-2022","2211","4582","3,4","3","1276","164","0","0","684"
"12-07-2022","2310","3522","2,62","0","733","130","1","21","760"
"13-07-2022","2541","7212","3,74","0","709","170","7","30","1048"
"14-07-2022","2667","7885","5,85","0","631","230","14","13","1226"
"15-07-2022","2727","8704","6,46","3","673","228","15","21","1264"
"16-07-2022","2339","6610","4,9","0","719","175","0","0","801"
"17-07-2022","3642","12949","9,44","5","644","272","17","15","1446"
"18-07-2022","3205","9913","0,5","0","440","125","27","101","1751"
"19-07-2022","3488","13286","2,46","0","490","195","46","96","2123"
"20-07-2022","3185","12609","6,56","0","539","188","28","79","1771"
"21-07-2022","2808","9094","4,77","0","631","145","36","51","1311"
"22-07-2022","2692","8226","4,51","0","590","172","6","39","1191"
"23-07-2022","2905","13585","10,08","0","659","123","66","73","1489"
"24-07-2022","2754","10657","7,91","0","517","123","50","35","1144"
"25-07-2022","2493","7769","5,12","3","587","159","20","21","994"
"26-07-2022","2935","9782","4,53","1","450","205","28","53","1527"
"27-07-2022","2622","13265","9,27","0","1229","143","35","33","1142"
"28-07-2022","2561","7053","3,18","0","620","84","45","50","1047"
"29-07-2022","2176","5106","3,75","0","799","108","10","4","612"
"30-07-2022","2853","10759","7,99","0","611","209","56","36","1451"
"31-07-2022","2273","5789","4,3","0","489","103","28","10","724"

