Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-12-2019","2,231","7,700","5.72","19","1,330","81","24","5","567"
"02-12-2019","2,092","5,407","4.02","4","1,337","85","17","1","513"
"03-12-2019","2,228","6,862","5.1","18","1,303","104","27","6","671"
"04-12-2019","1,934","2,951","2.19","11","1,368","72","0","0","325"
"05-12-2019","2,118","6,327","4.7","4","1,334","61","38","7","553"
"06-12-2019","2,037","4,604","3.42","14","1,341","85","10","4","463"
"07-12-2019","2,494","9,261","6.88","14","1,204","213","13","10","1,048"
"08-12-2019","3,103","18,017","13.39","34","1,102","239","69","30","1,755"
"09-12-2019","2,450","8,297","6.16","7","1,199","226","6","9","1,010"
"10-12-2019","2,109","5,621","4.18","5","1,318","86","33","3","562"
"11-12-2019","2,693","10,346","7.69","50","1,245","160","16","19","948"
"12-12-2019","1,902","1,792","1.33","7","1,367","73","0","0","290"
"13-12-2019","1,823","1,328","0.99","4","1,394","46","0","0","182"
"14-12-2019","2,814","9,886","7.35","6","1,172","171","63","34","1,404"
"15-12-2019","2,208","5,980","4.44","6","1,308","106","15","11","645"
"16-12-2019","1,896","2,602","1.93","5","1,374","66","0","0","283"
"17-12-2019","2,141","5,689","4.23","19","1,324","76","27","13","574"
"18-12-2019","2,398","8,306","6.17","12","1,237","168","30","5","914"
"19-12-2019","2,213","4,880","3.63","20","1,290","150","0","0","644"
"20-12-2019","2,162","5,465","4.06","37","1,313","112","7","8","611"
"21-12-2019","2,062","4,095","3.04","30","1,334","92","11","3","498"
"22-12-2019","2,186","5,139","3.82","36","1,322","93","17","8","627"
"23-12-2019","2,443","8,641","6.42","33","1,253","130","42","15","956"
"24-12-2019","2,573","8,268","6.14","30","1,226","160","44","10","1,096"
"25-12-2019","2,295","7,086","5.26","20","1,274","136","21","9","791"
"26-12-2019","2,624","10,793","8.02","80","1,228","141","42","29","1,171"
"27-12-2019","2,005","3,373","2.51","17","1,365","75","0","0","390"
"28-12-2019","2,106","4,804","3.57","15","1,240","75","6","14","521"
"29-12-2019","2,169","4,938","3.67","11","1,325","105","4","6","602"
"30-12-2019","2,261","6,133","4.56","45","1,303","102","13","22","724"
"31-12-2019","2,279","5,499","4.09","14","1,292","141","3","4","717"
