Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-02-2023","2903","10705","7,48","0","650","238","33","32","1506"
"02-02-2023","2855","12607","9,36","0","655","199","47","20","1366"
"03-02-2023","2372","7154","5,02","0","455","196","0","0","874"
"04-02-2023","3110","16055","11,75","0","562","181","105","43","1766"
"05-02-2023","2289","4872","3,01","0","540","127","7","16","748"
"06-02-2023","2896","11899","7,68","1","642","186","58","34","1478"
"07-02-2023","2491","6841","4,88","0","642","189","14","11","1008"
"08-02-2023","2462","7590","5,63","0","406","147","13","22","896"
"09-02-2023","2384","5607","3,93","2","561","177","2","8","872"
"10-02-2023","2596","7455","4,79","1","616","206","10","24","1142"
"11-02-2023","3368","18683","13,87","0","542","208","53","85","1989"
"12-02-2023","2896","10591","7,65","0","663","217","19","26","1411"
"13-02-2023","3265","16081","11,94","0","528","229","38","68","1851"
"14-02-2023","2205","4654","3,46","1","646","160","0","0","668"
"15-02-2023","2181","4543","3,37","1","333","162","0","0","637"
"16-02-2023","2530","7933","5,89","3","420","189","10","14","1012"
"17-02-2023","3159","14855","11,03","1","114","186","83","55","1751"
"18-02-2023","2606","8376","6,22","0","671","127","38","34","1099"
"19-02-2023","2904","11972","8,89","3","575","202","54","32","1501"
"20-02-2023","2419","7137","5,03","0","303","207","6","2","950"
"21-02-2023","2357","6998","4,97","0","647","153","18","13","856"
"22-02-2023","2410","4954","3,04","0","627","128","8","24","850"
"23-02-2023","2475","7677","5,43","0","549","188","11","10","978"
"24-02-2023","2600","8769","6,4","0","647","233","12","9","1153"
"25-02-2023","2437","6792","5,04","0","457","157","25","12","921"
"26-02-2023","2279","5839","4,33","0","697","157","7","3","749"
"27-02-2023","2527","8637","6,41","0","608","212","8","12","1039"
"28-02-2023","2856","11082","7,3","0","737","176","40","54","1399"

