Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-01-2021","2022","4376","3,25","7","1250","78","8","5","442"
"02-01-2021","2057","4800","3,57","12","1353","68","11","8","475"
"03-01-2021","2046","4061","3,02","16","1342","89","8","1","472"
"04-01-2021","1879","2064","1,53","1","1374","66","0","0","268"
"05-01-2021","1973","2784","2,07","7","1355","85","0","0","367"
"06-01-2021","2102","5350","3,98","9","1330","84","11","15","540"
"07-01-2021","2064","4749","3,53","6","1336","87","11","6","497"
"08-01-2021","1883","1830","1,36","2","1382","58","0","0","269"
"09-01-2021","2272","5175","3,85","16","1293","112","22","13","721"
"10-01-2021","1909","1896","1,41","2","1377","63","0","0","288"
"11-01-2021","2235","5138","3,82","20","1272","168","0","0","708"
"12-01-2021","2015","2947","2,19","7","1339","101","0","0","425"
"13-01-2021","2119","6335","4,71","5","1343","51","21","25","548"
"14-01-2021","2208","5670","4,21","15","1301","108","17","14","681"
"15-01-2021","1940","2235","1,66","1","1363","68","9","0","338"
"16-01-2021","2000","4124","3,06","8","1352","65","10","13","416"
"17-01-2021","1845","1537","1,14","1","1397","43","0","0","213"
"18-01-2021","2086","3515","2,61","8","1335","86","15","4","508"
"19-01-2021","2061","4633","3,44","3","1344","67","14","15","490"
"20-01-2021","2030","4850","3,6","5","1346","71","13","10","455"
"21-01-2021","2169","5940","4,41","9","1239","96","19","18","636"
"22-01-2021","1903","2175","1,62","2","1368","72","0","0","302"
"23-01-2021","2018","2445","1,82","2","1356","62","16","6","434"
"24-01-2021","2776","12192","9,06","92","1204","143","43","50","1331"
"25-01-2021","1873","1674","1,24","0","1378","62","0","0","262"
"26-01-2021","2004","4253","3,16","14","1365","44","20","11","403"
"27-01-2021","2011","3085","2,29","3","1361","60","11","8","418"
"28-01-2021","2130","2694","2","8","1301","139","0","0","560"
"29-01-2021","2427","7180","5,33","0","1244","162","24","10","930"
"30-01-2021","3004","13253","9,85","141","1119","266","14","41","1623"
"31-01-2021","3128","14363","10,67","36","1117","166","98","59","1741"

