Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-03-2022","2532","9304","6,91","37","1213","191","11","25","1082"
"02-03-2022","2000","2799","2,08","16","1341","99","0","0","414"
"03-03-2022","2215","6193","4,6","45","1303","116","14","7","677"
"04-03-2022","2249","5423","4,03","37","1009","163","4","5","724"
"05-03-2022","2730","10963","8,15","54","1159","154","16","50","1245"
"06-03-2022","2143","4323","3,21","34","1322","97","12","9","570"
"07-03-2022","2261","6140","4,56","22","1296","115","10","19","725"
"08-03-2022","2242","5996","4,46","43","1271","169","0","0","749"
"09-03-2022","2444","8842","6,57","74","993","121","13","35","942"
"10-03-2022","2111","4381","3,26","32","1156","114","4","4","549"
"11-03-2022","2450","8227","6,11","30","1192","134","9","29","924"
"12-03-2022","2225","5790","4,3","37","1261","179","0","0","744"
"13-03-2022","2365","7641","5,68","19","1163","123","8","32","837"
"14-03-2022","2132","4827","3,59","37","1170","113","10","8","580"
"15-03-2022","2011","3501","2,6","20","1202","106","0","0","442"
"16-03-2022","2325","8708","6,47","79","1293","103","11","33","805"
"17-03-2022","2194","6661","4,95","38","1185","93","16","19","657"
"18-03-2022","2314","7506","5,58","23","1141","86","16","38","763"
"19-03-2022","2151","5579","4,15","37","1311","129","0","0","609"
"20-03-2022","2206","5869","4,36","19","1239","106","7","18","658"
"21-03-2022","2285","7293","5,42","54","1292","134","4","10","764"
"22-03-2022","2233","7016","5,21","31","1244","90","11","26","686"
"23-03-2022","2409","8888","6,6","80","1270","114","11","45","914"
"24-03-2022","2127","5084","3,78","42","1322","102","8","8","560"
"25-03-2022","2551","11737","8,72","93","1075","136","22","37","1085"
"26-03-2022","2964","12495","9,28","97","1006","197","25","40","1512"
"27-03-2022","840","737","0,55","8","615","27","0","0","120"

