Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-06-2021","2378","7586","5,64","66","1266","164","8","2","887"
"02-06-2021","2269","6553","4,87","39","1305","97","21","17","738"
"03-06-2021","2092","3357","2,49","18","1126","69","29","6","516"
"04-06-2021","3495","15944","11,85","75","1035","168","62","110","2162"
"05-06-2021","2021","2985","2,22","23","1355","85","0","0","430"
"06-06-2021","1942","3436","2,55","17","1381","32","20","7","332"
"07-06-2021","2033","4142","3,08","31","1356","74","6","4","452"
"08-06-2021","2193","4925","3,66","53","1320","90","13","17","633"
"09-06-2021","1930","2583","1,92","33","1382","58","0","0","316"
"10-06-2021","2315","6108","4,54","40","1292","101","29","18","785"
"11-06-2021","2830","13710","10,19","86","1214","90","84","52","1364"
"12-06-2021","2902","12792","9,5","108","1199","110","52","79","1478"
"13-06-2021","2439","8558","6,36","45","1254","123","36","27","958"
"14-06-2021","3017","11318","8,41","115","1178","109","66","87","1614"
"15-06-2021","2082","3352","2,49","30","1349","66","19","6","496"
"16-06-2021","2225","6157","4,57","29","1291","122","15","12","709"
"17-06-2021","2561","9686","7,2","70","1213","182","39","6","1119"
"18-06-2021","2015","2942","2,19","25","1359","81","0","0","395"
"19-06-2021","2231","5721","4,25","59","1325","85","13","17","680"
"20-06-2021","1802","1264","0,94","14","1408","32","0","0","159"
"21-06-2021","2088","3535","2,63","50","1342","98","0","0","519"
"22-06-2021","2134","5573","4,14","34","1322","100","7","11","586"
"23-06-2021","2862","11133","8,27","35","1190","176","29","45","1441"
"24-06-2021","2761","7397","5,5","8","1022","177","14","37","1330"
"25-06-2021","2354","6290","4,67","6","1040","177","15","4","873"
"26-06-2021","3572","15009","11,15","21","1188","216","14","22","1261"
"27-06-2021","2567","8361","6,21","7","1118","164","33","20","1075"
"28-06-2021","2314","6613","4,91","9","1277","130","13","20","801"
"29-06-2021","2652","7786","5,78","52","1219","154","30","37","1189"
"30-06-2021","2063","3427","2,55","4","1330","110","0","0","485"

