Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-04-2021","2080","5758","4,28","6","1347","49","27","17","505"
"02-04-2021","2051","5114","3,8","1","1357","35","36","12","461"
"03-04-2021","2208","7011","5,21","4","1314","75","20","31","660"
"04-04-2021","1967","4082","3,03","4","1374","49","14","3","364"
"05-04-2021","2094","4977","3,7","3","1343","67","18","12","503"
"06-04-2021","2098","5337","3,97","3","1333","61","23","23","535"
"07-04-2021","2176","6604","4,91","8","1327","67","16","30","615"
"08-04-2021","2089","5482","4,07","4","1352","53","12","23","508"
"09-04-2021","2206","5072","3,77","6","1319","70","34","17","644"
"10-04-2021","2136","6619","4,92","4","1328","64","22","26","584"
"11-04-2021","2176","6870","5,1","4","1329","61","20","30","621"
"12-04-2021","2214","7334","5,45","5","1324","55","19","42","656"
"13-04-2021","2279","8373","6,22","10","1291","87","29","33","762"
"14-04-2021","2120","5788","4,3","6","1325","79","20","16","567"
"15-04-2021","2139","4957","3,68","8","1318","95","15","12","581"
"16-04-2021","2248","6368","4,73","25","1301","96","29","14","712"
"17-04-2021","2131","5228","3,88","11","1320","103","13","4","578"
"18-04-2021","2011","5041","3,75","7","1369","27","17","27","416"
"19-04-2021","2226","5009","3,72","10","1303","92","29","16","688"
"20-04-2021","2114","5455","4,05","5","1331","79","19","11","548"
"21-04-2021","2094","5102","3,79","12","1328","86","16","10","533"
"22-04-2021","2015","4452","3,31","6","1359","46","14","21","425"
"23-04-2021","2039","4796","3,56","9","1348","62","17","13","465"
"24-04-2021","2042","5083","3,78","9","1349","56","20","15","467"
"25-04-2021","2055","4959","3,68","5","1349","54","18","19","478"
"26-04-2021","2179","6117","4,54","6","1317","81","28","14","632"
"27-04-2021","2022","4138","3,07","8","1356","55","12","17","427"
"28-04-2021","2115","5919","4,4","7","1339","52","27","22","546"
"29-04-2021","2107","5567","4,14","5","1351","43","17","29","525"
"30-04-2021","2106","5947","4,42","5","1342","50","18","30","535"

