Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-12-2021","2332","8193","6,09","31","1272","124","24","20","834"
"02-12-2021","2358","8273","6,15","85","1198","118","22","28","866"
"03-12-2021","2448","8880","6,6","35","1187","157","16","18","966"
"04-12-2021","2168","6073","4,51","37","1205","115","8","9","637"
"05-12-2021","2093","5379","4","28","1425","15","0","0","96"
"06-12-2021","2193","5969","4,43","32","1295","136","3","6","659"
"07-12-2021","2468","5925","4,4","44","1229","204","5","2","986"
"08-12-2021","2555","11061","8,22","67","1235","149","23","33","1100"
"09-12-2021","2300","6912","5,14","35","1301","117","12","10","777"
"10-12-2021","2060","4871","3,62","9","1267","62","9","19","476"
"11-12-2021","2735","13836","10,28","87","1202","153","30","55","1319"
"12-12-2021","2558","11339","8,42","58","1240","150","24","26","1093"
"13-12-2021","2124","5221","3,88","8","1332","79","17","12","572"
"14-12-2021","2090","5560","4,13","18","1359","53","9","19","430"
"15-12-2021","2159","5576","4,14","13","1303","120","8","9","629"
"16-12-2021","1875","2369","1,76","7","1381","59","0","0","264"
"17-12-2021","2439","8383","6,23","35","1109","194","8","9","975"
"18-12-2021","2157","4561","3,39","15","1292","148","0","0","629"
"19-12-2021","2113","4038","3","3","1313","119","6","2","558"
"20-12-2021","2435","7245","5,38","7","1235","180","7","18","962"
"21-12-2021","2265","5686","4,22","16","1294","117","5","24","740"
"22-12-2021","2188","5853","4,35","12","1301","111","2","26","656"
"23-12-2021","2242","5801","4,31","17","1289","122","4","25","726"
"24-12-2021","2028","3032","2,25","3","1312","128","0","0","467"
"25-12-2021","2210","4538","3,37","14","1195","178","0","0","704"
"26-12-2021","3082","8966","6,66","15","1093","186","38","51","1630"
"27-12-2021","2390","6339","4,71","55","1266","126","11","37","879"
"28-12-2021","2092","3492","2,59","32","1253","104","2","13","534"
"29-12-2021","1926","1868","1,39","8","1349","91","0","0","338"
"30-12-2021","2193","3508","2,61","31","1278","162","0","0","674"
"31-12-2021","2365","5112","3,8","16","1196","181","0","0","840"

