Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-02-2020","2,274","5,476","4.07","11","1,289","123","17","11","743"
"02-02-2020","2,389","8,698","6.46","10","1,268","120","33","19","892"
"03-02-2020","2,418","8,315","6.18","15","1,278","128","25","9","893"
"04-02-2020","2,238","6,127","4.55","13","1,321","92","9","18","668"
"05-02-2020","2,292","6,294","4.68","8","1,310","80","35","15","740"
"06-02-2020","2,276","7,379","5.48","9","1,196","107","19","9","736"
"07-02-2020","2,151","4,590","3.41","10","1,323","117","0","0","567"
"08-02-2020","2,552","7,047","5.24","18","1,162","171","19","18","1,086"
"09-02-2020","2,159","6,178","4.59","5","1,323","98","17","2","602"
"10-02-2020","2,214","6,785","5.04","13","1,313","93","21","13","668"
"11-02-2020","2,579","10,875","8.08","22","1,115","95","54","42","1,101"
"12-02-2020","3,138","12,940","9.61","14","1,074","284","71","11","1,802"
"13-02-2020","2,000","3,150","2.34","8","1,360","71","5","4","395"
"14-02-2020","2,452","9,672","7.19","11","1,271","109","27","33","925"
"15-02-2020","2,342","8,150","6.06","33","1,273","138","19","10","837"
"16-02-2020","2,195","4,228","3.14","15","1,337","80","18","5","514"
"17-02-2020","2,182","6,649","4.94","6","1,315","96","26","3","633"
"18-02-2020","2,290","7,194","5.35","5","1,296","91","35","18","761"
"19-02-2020","2,469","9,519","7.07","16","1,186","161","23","7","981"
"20-02-2020","2,136","5,141","3.82","4","1,330","84","13","13","568"
"21-02-2020","2,491","8,147","6.05","14","1,234","171","30","5","1,007"
"22-02-2020","2,480","9,925","7.37","12","1,263","115","49","13","978"
"23-02-2020","2,365","9,215","6.85","12","1,280","103","40","17","852"
"24-02-2020","2,157","5,202","3.87","7","1,325","115","0","0","589"
"25-02-2020","2,196","4,993","3.71","18","1,316","112","7","5","624"
"26-02-2020","2,153","5,653","4.2","6","1,334","61","35","10","587"
"27-02-2020","2,207","7,396","5.5","9","1,323","72","26","19","651"
"28-02-2020","2,533","10,144","7.54","26","1,250","135","37","18","1,051"
"29-02-2020","2,123","5,583","4.15","22","1,336","78","14","12","552"
