Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-02-2022","2103","5328","3,96","20","1329","76","8","27","552"
"02-02-2022","2236","7178","5,33","23","1296","101","14","29","715"
"03-02-2022","2154","5761","4,28","27","1310","92","15","23","620"
"04-02-2022","2189","5042","3,75","35","1300","121","2","17","668"
"05-02-2022","2131","4483","3,33","21","1307","115","5","13","601"
"06-02-2022","2253","5766","4,28","32","1278","146","4","12","753"
"07-02-2022","2219","6244","4,64","17","1322","75","6","37","678"
"08-02-2022","2128","4442","3,3","27","1313","110","3","14","580"
"09-02-2022","2108","4445","3,3","15","1035","129","6","1","567"
"10-02-2022","3705","15727","11,69","247","1109","114","55","162","2357"
"11-02-2022","2110","3999","2,97","5","1188","138","0","0","550"
"12-02-2022","2305","5495","4,08","8","1234","206","0","0","843"
"13-02-2022","2457","7877","5,85","10","1171","168","7","23","958"
"14-02-2022","2406","7446","5,53","40","937","144","20","22","924"
"15-02-2022","2062","3887","2,89","31","1005","121","0","0","517"
"16-02-2022","2250","5526","4,11","44","1153","143","4","6","738"
"17-02-2022","2283","6165","4,58","37","1311","87","11","31","754"
"18-02-2022","1898","2672","1,99","22","1311","62","0","0","293"
"19-02-2022","2090","4971","3,69","29","1348","72","6","14","514"
"20-02-2022","2067","4325","3,21","30","1350","90","0","0","487"
"21-02-2022","2045","3693","2,74","17","1325","115","0","0","487"
"22-02-2022","2162","4694","3,49","31","1226","113","1","9","578"
"23-02-2022","2078","3758","2,79","23","1032","112","0","0","496"
"24-02-2022","2363","6500","4,83","13","1244","178","6","12","862"
"25-02-2022","2278","6805","5,06","37","1290","138","2","10","749"
"26-02-2022","2451","5737","4,26","34","1248","192","0","0","905"
"27-02-2022","2151","4177","3,1","22","1302","138","0","0","603"
"28-02-2022","2122","4845","3,6","37","1329","93","2","16","563"

