Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-04-2022","2126","5235","3,89","34","1341","75","5","19","535"
"02-04-2022","2326","6700","4,98","28","1290","110","13","27","785"
"03-04-2022","2272","6557","4,87","33","1297","113","5","25","730"
"04-04-2022","2040","3314","2,46","20","1337","103","0","0","450"
"05-04-2022","2308","4885","3,63","27","1249","184","4","3","805"
"06-04-2022","2109","4157","3,09","30","1324","116","0","0","528"
"07-04-2022","2611","8694","6,46","48","1226","165","24","25","1075"
"08-04-2022","2926","7877","5,85","39","1153","219","32","36","1471"
"09-04-2022","2827","9183","6,82","72","1174","196","35","35","1366"
"10-04-2022","2929","14067","10,45","65","1163","179","48","50","1487"
"11-04-2022","2128","4413","3,28","30","1172","110","0","0","542"
"12-04-2022","2439","7152","5,31","47","1197","132","14","18","871"
"13-04-2022","2483","7213","5,36","41","1251","172","8","9","962"
"14-04-2022","2271","5934","4,41","34","1239","92","9","27","700"
"15-04-2022","2258","5828","4,33","33","1318","94","6","22","685"
"16-04-2022","2374","7492","5,57","28","1249","180","5","6","885"
"17-04-2022","1691","0","0","0","1440","0","0","0","0"
"18-04-2022","2014","3826","2,84","17","1366","63","5","6","400"
"19-04-2022","2504","9609","7,14","83","1261","114","31","34","1001"
"20-04-2022","2212","6239","4,64","55","1334","81","5","20","630"
"21-04-2022","2312","7511","5,58","52","1313","87","13","27","753"
"22-04-2022","2495","9263","6,88","45","1278","104","24","34","970"
"23-04-2022","2509","9584","7,12","33","1165","151","12","2","981"
"24-04-2022","1880","2400","1,78","12","1397","43","0","0","234"
"25-04-2022","2332","5421","4,03","23","1213","114","10","17","760"
"26-04-2022","2226","5178","3,85","28","1335","84","5","16","633"
"27-04-2022","2242","6041","4,49","33","1319","94","12","15","680"
"28-04-2022","2182","4618","3,43","25","1308","112","14","6","626"
"29-04-2022","2520","8003","5,95","43","1276","164","0","0","807"
"30-04-2022","2761","10996","8,17","31","1201","203","19","17","1180"

