Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-09-2021","2347","6859","5,1","61","1260","156","1","23","871"
"02-09-2021","2467","7035","5,23","11","1146","202","6","8","988"
"03-09-2021","2180","5009","3,72","3","1310","107","0","23","642"
"04-09-2021","2515","7045","5,23","21","1182","258","0","0","1088"
"05-09-2021","2759","8118","6,03","47","1150","250","20","20","1319"
"06-09-2021","2346","6859","5,1","58","1271","133","8","28","848"
"07-09-2021","2080","4318","3,21","3","1296","144","0","0","560"
"08-09-2021","2324","6983","5,19","51","1274","136","5","25","819"
"09-09-2021","2403","7853","5,83","25","1093","157","6","30","935"
"10-09-2021","2252","5883","4,37","9","1262","153","20","5","764"
"11-09-2021","2473","8228","6,11","66","1244","154","10","32","1005"
"12-09-2021","2262","5470","4,06","3","1257","183","0","0","756"
"13-09-2021","2172","4619","3,43","3","1284","156","0","0","654"
"14-09-2021","2417","7422","5,51","67","1148","144","18","28","937"
"15-09-2021","2705","9611","7,14","42","1190","139","88","23","1296"
"16-09-2021","2208","5623","4,18","18","1207","130","1","13","689"
"17-09-2021","2318","4840","3,6","9","1264","164","1","11","800"
"18-09-2021","2929","12522","9,3","178","1047","145","12","87","1480"
"19-09-2021","2207","5403","4,01","7","1300","114","1","25","681"
"20-09-2021","1993","3228","2,4","6","1150","98","7","4","440"
"21-09-2021","2168","3855","2,86","4","1219","143","1","7","641"
"22-09-2021","2153","4764","3,54","3","1209","150","0","0","631"
"23-09-2021","2521","9452","7,02","65","1239","164","12","25","1051"
"24-09-2021","2026","3444","2,56","3","1229","130","0","0","490"
"25-09-2021","2361","4496","3,34","25","1235","205","0","0","840"
"26-09-2021","2053","3494","2,6","8","1243","126","0","0","493"
"27-09-2021","2086","4056","3,01","10","1236","124","6","3","550"
"28-09-2021","2345","6632","4,93","45","1267","142","6","25","844"
"29-09-2021","2285","6274","4,66","44","1281","132","6","21","778"
"30-09-2021","2303","6053","4,5","63","1288","128","2","22","791"

