Activités
Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu Actives,Minutes Assez Actives,Minutes Très actif,Dépense calorique
"01-12-2020","2140","5541","4,12","4","1317","91","22","10","579"
"02-12-2020","2250","8065","5,99","5","1305","75","35","25","716"
"03-12-2020","2215","6609","4,91","20","1304","101","12","23","670"
"04-12-2020","2235","6855","5,09","4","1312","87","20","21","669"
"05-12-2020","2199","7580","5,63","11","1322","64","13","41","652"
"06-12-2020","2180","4956","3,68","6","1301","123","11","5","648"
"07-12-2020","2135","6736","5","5","1335","54","28","23","571"
"08-12-2020","2041","4231","3,14","2","1349","66","9","16","443"
"09-12-2020","2266","7629","5,67","8","1299","79","40","22","728"
"10-12-2020","2096","4917","3,65","7","1332","96","10","2","527"
"11-12-2020","2654","9400","6,98","77","1207","172","31","30","1208"
"12-12-2020","2137","5671","4,21","5","1313","108","15","4","590"
"13-12-2020","2062","4259","3,16","7","1349","66","20","5","482"
"14-12-2020","1987","4251","3,16","2","1358","62","15","5","397"
"15-12-2020","2306","7566","5,62","18","1287","100","26","27","788"
"16-12-2020","2178","6397","4,75","7","1316","82","25","17","627"
"17-12-2020","2302","7391","5,49","28","1293","87","30","30","773"
"18-12-2020","2016","4189","3,11","6","1339","101","0","0","449"
"19-12-2020","2038","3670","2,73","8","1343","97","0","0","463"
"20-12-2020","2116","4526","3,36","10","1206","111","9","0","564"
"21-12-2020","1959","3129","2,32","1","1360","80","0","0","367"
"22-12-2020","1925","2384","1,77","6","1364","76","0","0","328"
"23-12-2020","3730","21513","15,98","100","1038","154","123","125","2438"
"24-12-2020","2429","6240","4,64","5","1259","181","0","0","921"
"25-12-2020","2027","3949","2,93","5","1251","106","0","0","461"
"26-12-2020","2031","4278","3,18","3","1344","74","22","0","457"
"27-12-2020","2193","5126","3,81","16","1298","131","9","2","639"
"28-12-2020","2387","7990","5,94","27","1248","164","24","4","905"
"29-12-2020","2188","5925","4,4","3","1304","115","19","2","646"
"30-12-2020","2131","4792","3,56","8","1322","81","24","13","577"
"31-12-2020","2202","6638","4,93","2","1314","88","25","13","660"

