Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
24/06/18,walking,walking,2018-06-24T00:00:00+02:00,2018-06-24T00:01:26+02:00,86,0.072,145,3
24/06/18,walking,walking,2018-06-24T10:56:20+02:00,2018-06-24T10:56:39+02:00,19,0.015,30,1
24/06/18,walking,walking,2018-06-24T13:07:58+02:00,2018-06-24T13:09:21+02:00,83,0.055,110,2
24/06/18,walking,walking,2018-06-24T15:26:25+02:00,2018-06-24T15:27:14+02:00,49,0.025,50,1
24/06/18,walking,walking,2018-06-24T23:14:39+02:00,2018-06-24T23:15:08+02:00,29,0.015,30,1
