"Date","Keys","Clicks"
"2015-11-19",0,0
"2015-11-20",0,0
"2015-11-21",0,0
"2015-11-22",2419,2788
"2015-11-23",2637,3139
"2015-11-24",2791,6116
"2015-11-25",2950,3508
