"Date","Keys","Clicks"
"2016-03-28",9832,5742
"2016-03-29",4822,5483
"2016-03-30",3560,1956
"2016-03-31",5923,3940
"2016-04-01",5093,3024
"2016-04-02",2680,1488
"2016-04-03",7,117
