"Date","Keys","Clicks"
"2016-08-06",6449,2832
"2016-08-07",1154,1371
"2016-08-08",2085,920
"2016-08-09",0,0
"2016-08-10",81,44
"2016-08-11",0,0
"2016-08-12",3,22
