"Date","Keys","Clicks"
"2017-08-03",475,237
"2017-08-04",110,163
"2017-08-05",1236,927
"2017-08-06",5469,1266
"2017-08-07",1350,292
"2017-08-08",461,186
"2017-08-09",4,23
