"Date","Keys","Clicks"
"2017-02-25",5610,1536
"2017-02-26",848,185
"2017-02-27",7878,4248
"2017-02-28",11996,5158
"2017-03-01",6162,2485
"2017-03-02",11734,4580
"2017-03-03",7,16
