Date,Activity,Group,Duration,Distance,Steps,Calories
7/16/18,transport,transport,6856,19.937,0,0
7/16/18,walking,walking,698,0.449,969,43
7/17/18,transport,transport,1320,4.383,0,0
7/17/18,walking,walking,171,0.078,251,7
7/18/18,transport,transport,433,2.369,0,0
7/19/18,transport,transport,19253,271.667,0,0
7/19/18,walking,walking,1532,1.023,2603,98
7/20/18,walking,walking,801,0.556,1181,53
7/20/18,transport,transport,1870,2.970,0,0
7/22/18,walking,walking,33,0.016,50,1
7/22/18,transport,transport,525,0.766,0,0
