Date,Activity,Group,Duration,Distance,Steps,Calories
1/22/18,transport,transport,7054,24.769,0,0
1/22/18,walking,walking,7546,5.602,11994,534
1/23/18,transport,transport,5017,13.240,0,0
1/23/18,walking,walking,1826,1.113,2526,106
1/24/18,transport,transport,13088,46.268,0,0
1/24/18,walking,walking,5552,3.130,7443,299
1/25/18,transport,transport,5870,14.015,0,0
1/25/18,walking,walking,2293,1.588,3372,151
1/26/18,transport,transport,342,1.006,0,0
1/27/18,walking,walking,244,0.144,362,14
1/28/18,transport,transport,6501,36.544,0,0
1/28/18,walking,walking,3361,1.995,4604,190
