Date,Activity,Group,Duration,Distance,Steps,Calories
4/23/18,transport,transport,6249,30.724,0,0
4/23/18,walking,walking,6602,4.271,10066,407
4/24/18,transport,transport,5254,32.218,0,0
4/24/18,walking,walking,5355,2.945,7523,281
4/25/18,transport,transport,2532,17.802,0,0
4/25/18,walking,walking,925,0.437,1407,42
4/26/18,transport,transport,4386,15.002,0,0
4/26/18,walking,walking,199,0.136,267,13
4/27/18,transport,transport,1000,0.756,0,0
4/28/18,transport,transport,6234,41.488,0,0
4/28/18,walking,walking,87,0.040,130,4
4/29/18,transport,transport,2617,10.387,0,0
4/29/18,walking,walking,2994,2.269,5024,216
