Date,Activity,Group,Duration,Distance,Steps,Calories
10/16/17,walking,walking,170,0.081,260,8
10/16/17,transport,transport,4367,3.947,0,0
10/17/17,transport,transport,4911,10.844,0,0
10/17/17,walking,walking,2440,1.541,3554,147
10/18/17,transport,transport,2788,12.310,0,0
10/18/17,walking,walking,2277,1.481,3546,142
10/19/17,transport,transport,3219,19.049,0,0
10/19/17,walking,walking,1842,1.159,2635,111
10/20/17,transport,transport,194,1.022,0,0
10/21/17,walking,walking,3014,1.914,4787,183
10/21/17,transport,transport,4199,11.716,0,0
