Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
3/2/18,walking,walking,2018-03-02T09:09:20-07:00,2018-03-02T09:14:00-07:00,280,0.200,373,19
3/2/18,walking,walking,2018-03-02T10:57:12-07:00,2018-03-02T10:57:16-07:00,4,0.001,0,0
3/2/18,walking,walking,2018-03-02T14:59:58-07:00,2018-03-02T15:00:28-07:00,30,0.012,40,1
3/2/18,walking,walking,2018-03-02T19:00:16-07:00,2018-03-02T19:00:45-07:00,29,0.009,30,1
3/2/18,walking,walking,2018-03-02T20:56:26-07:00,2018-03-02T20:56:55-07:00,29,0.016,50,1
3/2/18,transport,transport,2018-03-02T20:58:40-07:00,2018-03-02T21:02:52-07:00,252,2.334,0,0
3/2/18,walking,walking,2018-03-02T21:29:46-07:00,2018-03-02T21:30:32-07:00,46,0.022,70,2
3/2/18,transport,transport,2018-03-02T22:44:32-07:00,2018-03-02T22:48:08-07:00,216,1.020,0,0
