"Date","Keys","Clicks"
"2018-12-06",10194,2749
"2018-12-07",5187,974
"2018-12-08",1859,768
"2018-12-09",9100,2518
"2018-12-10",13018,3514
"2018-12-11",6029,2339
"2018-12-12",3,36
