"Date","Keys","Clicks"
"2021-03-15",13707,850
"2021-03-16",17907,2636
"2021-03-17",13888,2365
"2021-03-18",16629,2856
"2021-03-19",14437,3005
"2021-03-20",16448,2714
"2021-03-21",100,22
