"Date","Keys","Clicks"
"2020-10-26",7734,4091
"2020-10-27",1901,943
"2020-10-28",7291,3170
"2020-10-29",5717,2388
"2020-10-30",8137,2964
"2020-10-31",2228,931
"2020-11-01",5,18
