"Date","Keys","Clicks"
"2023-10-06",4068,1845
"2023-10-07",4249,2179
"2023-10-08",9746,4549
"2023-10-09",6581,3847
"2023-10-10",17964,3971
"2023-10-11",5238,1948
"2023-10-12",1154,1023
