Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
1/11/18,walking,walking,2018-01-11T15:47:07-07:00,2018-01-11T15:49:33-07:00,146,0.102,219,10
1/11/18,walking,walking,2018-01-11T15:54:22-07:00,2018-01-11T16:04:28-07:00,606,0.193,473,18
1/11/18,walking,walking,2018-01-11T16:04:28-07:00,2018-01-11T16:04:36-07:00,8,0.004,12,0
1/11/18,walking,walking,2018-01-11T16:09:26-07:00,2018-01-11T16:12:41-07:00,195,0.063,170,6
1/11/18,walking,walking,2018-01-11T16:31:41-07:00,2018-01-11T16:32:51-07:00,70,0.033,106,3
1/11/18,walking,walking,2018-01-11T16:39:54-07:00,2018-01-11T16:51:13-07:00,679,0.275,655,26
1/11/18,walking,walking,2018-01-11T16:52:24-07:00,2018-01-11T16:53:24-07:00,60,0.028,90,3
1/11/18,walking,walking,2018-01-11T16:54:56-07:00,2018-01-11T17:11:06-07:00,970,0.614,1368,59
1/11/18,walking,walking,2018-01-11T17:12:16-07:00,2018-01-11T17:13:22-07:00,66,0.031,100,3
1/11/18,cycling,cycling,2018-01-11T17:44:11-07:00,2018-01-11T18:11:52-07:00,1661,11.373,0,461
1/11/18,walking,walking,2018-01-11T22:18:46-07:00,2018-01-11T22:22:09-07:00,203,0.145,271,14
1/12/18,transport,transport,2018-01-12T08:56:20-07:00,2018-01-12T09:08:38-07:00,738,1.580,0,0
1/12/18,walking,walking,2018-01-12T09:09:02-07:00,2018-01-12T09:09:22-07:00,20,0.009,30,1
1/12/18,walking,walking,2018-01-12T13:28:53-07:00,2018-01-12T13:29:22-07:00,29,0.016,50,1
1/12/18,transport,transport,2018-01-12T13:29:37-07:00,2018-01-12T13:43:54-07:00,857,4.284,0,0
1/12/18,walking,walking,2018-01-12T16:25:18-07:00,2018-01-12T16:37:52-07:00,754,0.355,879,34
1/12/18,walking,walking,2018-01-12T16:40:08-07:00,2018-01-12T16:40:48-07:00,40,0.019,60,2
1/12/18,walking,walking,2018-01-12T16:45:58-07:00,2018-01-12T16:47:11-07:00,73,0.034,110,3
1/12/18,walking,walking,2018-01-12T17:20:51-07:00,2018-01-12T17:41:30-07:00,1239,0.744,2213,71
1/12/18,transport,transport,2018-01-12T18:32:11-07:00,2018-01-12T18:42:41-07:00,630,4.305,0,0
1/15/18,walking,walking,2018-01-15T22:37:48-07:00,2018-01-15T22:38:58-07:00,70,0.032,105,3
1/15/18,transport,transport,2018-01-15T22:52:34-07:00,2018-01-15T22:57:59-07:00,325,1.269,0,0
1/16/18,transport,transport,2018-01-16T09:36:53-07:00,2018-01-16T09:41:21-07:00,268,0.842,0,0
1/16/18,transport,transport,2018-01-16T11:33:52-07:00,2018-01-16T11:48:56-07:00,904,0.646,0,0
1/16/18,walking,walking,2018-01-16T14:24:09-07:00,2018-01-16T14:26:42-07:00,153,0.109,204,10
1/16/18,transport,transport,2018-01-16T15:48:36-07:00,2018-01-16T16:13:44-07:00,1508,1.160,0,0
1/16/18,walking,walking,2018-01-16T16:13:44-07:00,2018-01-16T16:35:06-07:00,1282,0.780,1836,74
1/16/18,transport,transport,2018-01-16T16:53:47-07:00,2018-01-16T16:57:59-07:00,252,1.048,0,0
1/16/18,walking,walking,2018-01-16T17:08:16-07:00,2018-01-16T17:09:22-07:00,66,0.031,100,3
1/16/18,walking,walking,2018-01-16T19:52:46-07:00,2018-01-16T19:53:15-07:00,29,0.009,30,1
1/16/18,walking,walking,2018-01-16T21:48:39-07:00,2018-01-16T21:49:42-07:00,63,0.022,70,2
1/16/18,transport,transport,2018-01-16T23:29:44-07:00,2018-01-16T23:36:28-07:00,404,1.643,0,0
1/17/18,transport,transport,2018-01-17T09:21:01-07:00,2018-01-17T09:24:39-07:00,218,0.920,0,0
1/17/18,transport,transport,2018-01-17T13:31:14-07:00,2018-01-17T13:57:01-07:00,1547,19.912,0,0
1/17/18,walking,walking,2018-01-17T14:47:46-07:00,2018-01-17T15:04:13-07:00,987,0.460,1407,44
1/17/18,walking,walking,2018-01-17T15:05:24-07:00,2018-01-17T15:08:58-07:00,214,0.150,321,14
1/17/18,walking,walking,2018-01-17T15:10:37-07:00,2018-01-17T15:25:32-07:00,895,0.390,1255,37
1/17/18,walking,walking,2018-01-17T15:26:33-07:00,2018-01-17T15:31:49-07:00,316,0.142,384,14
1/17/18,walking,walking,2018-01-17T15:31:54-07:00,2018-01-17T15:42:38-07:00,644,0.200,608,19
1/17/18,walking,walking,2018-01-17T15:46:20-07:00,2018-01-17T15:47:53-07:00,93,0.043,141,4
1/17/18,walking,walking,2018-01-17T15:49:48-07:00,2018-01-17T15:57:40-07:00,472,0.181,585,17
1/17/18,walking,walking,2018-01-17T15:58:35-07:00,2018-01-17T15:58:55-07:00,20,0.009,30,1
1/17/18,walking,walking,2018-01-17T16:00:55-07:00,2018-01-17T16:08:11-07:00,436,0.308,660,29
1/17/18,walking,walking,2018-01-17T16:30:06-07:00,2018-01-17T16:42:03-07:00,717,0.250,807,24
1/17/18,walking,walking,2018-01-17T16:44:12-07:00,2018-01-17T16:50:41-07:00,389,0.272,583,26
1/17/18,walking,walking,2018-01-17T16:54:20-07:00,2018-01-17T17:02:51-07:00,511,0.217,698,21
1/17/18,walking,walking,2018-01-17T17:08:19-07:00,2018-01-17T17:30:28-07:00,1329,0.752,2421,72
1/17/18,transport,transport,2018-01-17T18:21:33-07:00,2018-01-17T18:40:14-07:00,1121,14.565,0,0
1/17/18,transport,transport,2018-01-17T19:02:06-07:00,2018-01-17T19:09:25-07:00,439,4.645,0,0
