Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-11-2017","2,064","4,533","3.37","27","1,225","37","11","27","442"
"02-11-2017","1,977","2,600","1.93","0","1,156","77","0","0","354"
"03-11-2017","2,256","6,378","4.74","23","1,278","41","10","44","661"
"04-11-2017","2,147","4,385","3.26","6","1,280","61","1","23","510"
"05-11-2017","2,560","6,256","4.65","7","1,122","184","4","5","904"
"06-11-2017","2,720","7,658","5.69","14","1,218","172","19","31","1,221"
"07-11-2017","2,603","8,166","6.07","24","1,187","231","11","11","1,140"
"08-11-2017","2,469","7,873","5.85","23","1,072","165","2","34","975"
"09-11-2017","2,408","6,595","4.9","19","1,077","205","6","0","910"
"10-11-2017","2,471","6,387","4.75","15","1,231","199","3","7","945"
"11-11-2017","2,294","6,385","4.74","17","1,275","129","11","25","751"
"12-11-2017","2,477","6,515","4.84","19","1,208","221","5","6","986"
"13-11-2017","2,403","6,516","4.84","32","912","181","6","9","870"
"14-11-2017","2,331","5,298","3.94","14","1,326","114","0","0","348"
"15-11-2017","2,383","8,447","6.28","8","1,278","137","10","15","928"
"16-11-2017","2,616","8,999","6.69","8","1,222","177","12","29","1,123"
"17-11-2017","2,039","4,047","3.01","1","1,338","102","0","0","451"
"18-11-2017","2,573","8,092","6.01","52","1,210","182","25","23","1,089"
"19-11-2017","2,779","8,126","6.04","68","1,070","189","38","30","1,315"
"20-11-2017","2,660","12,658","9.4","83","1,220","135","45","40","1,172"
"21-11-2017","2,792","14,293","10.62","62","1,220","110","34","76","1,333"
"22-11-2017","2,575","11,420","8.49","61","1,240","132","33","35","1,093"
"23-11-2017","2,447","5,791","4.3","32","1,068","179","11","3","893"
"24-11-2017","1,870","1,975","1.47","0","1,258","51","0","0","216"
"25-11-2017","2,364","7,156","5.32","21","1,228","88","16","32","755"
"26-11-2017","2,408","6,577","4.89","34","1,273","122","24","21","844"
"27-11-2017","2,270","7,314","5.43","23","1,210","62","30","36","700"
"28-11-2017","1,940","2,347","1.74","7","1,217","61","5","3","299"
"29-11-2017","2,000","3,334","2.48","6","1,247","84","0","0","383"
"30-11-2017","2,037","3,948","2.93","19","1,147","83","4","7","432"
