Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-09-2019","1,996","3,073","2.28","11","1,352","88","0","0","401"
"02-09-2019","2,030","2,799","2.08","16","1,334","106","0","0","452"
"03-09-2019","2,162","4,961","3.69","9","1,327","83","23","7","560"
"04-09-2019","2,108","4,990","3.71","10","1,325","85","24","6","544"
"05-09-2019","2,187","4,908","3.65","6","1,304","112","21","3","636"
"06-09-2019","2,164","4,082","3.03","11","1,310","130","0","0","594"
"07-09-2019","1,901","2,977","2.21","3","1,383","46","8","3","284"
"08-09-2019","3,713","21,292","15.82","119","1,017","237","81","105","2,454"
"09-09-2019","2,137","4,585","3.41","14","1,324","96","16","4","562"
"10-09-2019","1,956","3,518","2.61","3","1,368","49","21","2","345"
"11-09-2019","2,022","3,744","2.78","6","1,353","60","21","6","430"
"12-09-2019","2,058","3,059","2.27","14","1,190","111","0","0","486"
"13-09-2019","2,143","4,373","3.25","10","1,323","87","22","8","568"
"14-09-2019","2,107","4,171","3.1","6","1,234","114","0","0","537"
"15-09-2019","2,529","4,537","3.37","1","1,064","153","6","4","986"
"16-09-2019","3,537","14,986","11.13","26","1,175","164","21","80","1,691"
"17-09-2019","2,530","8,965","6.66","11","1,156","161","19","20","1,043"
"18-09-2019","2,494","6,447","4.79","20","1,221","197","12","10","1,036"
"19-09-2019","2,449","7,421","5.51","41","1,147","183","4","25","986"
"20-09-2019","2,390","5,448","4.05","11","1,143","219","0","0","928"
"21-09-2019","2,391","7,390","5.48","61","1,176","164","8","26","925"
"22-09-2019","2,154","7,390","5.49","61","1,440","0","0","0","0"
"23-09-2019","2,390","6,988","5.19","43","1,148","165","3","24","909"
"24-09-2019","2,232","5,108","3.8","5","1,305","112","1","22","686"
"25-09-2019","2,470","5,351","3.98","13","1,191","249","0","0","1,030"
"26-09-2019","2,341","6,797","5.05","53","1,075","132","3","31","823"
"27-09-2019","2,346","4,996","3.71","4","1,118","161","3","8","789"
"28-09-2019","2,243","4,833","3.59","8","1,152","153","6","11","720"
"29-09-2019","2,489","6,932","5.15","19","1,181","249","4","6","1,065"
"30-09-2019","2,473","5,572","4.14","11","1,246","172","5","17","913"

