Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-12-2018","2,268","5,872","4.36","17","1,127","69","9","40","665"
"02-12-2018","2,312","6,546","4.86","21","1,142","102","23","15","764"
"03-12-2018","2,317","6,065","4.51","23","1,298","112","7","23","752"
"04-12-2018","2,177","5,250","3.9","8","1,353","43","14","30","539"
"05-12-2018","2,018","3,143","2.34","7","1,377","52","2","9","382"
"06-12-2018","2,219","5,166","3.84","13","1,252","76","10","15","614"
"07-12-2018","1,842","1,224","0.91","5","1,403","37","0","0","171"
"08-12-2018","2,102","4,334","3.22","9","1,345","95","0","0","502"
"09-12-2018","2,174","5,816","4.32","34","1,349","50","13","28","575"
"10-12-2018","2,527","9,712","7.22","57","1,277","90","14","59","998"
"11-12-2018","2,249","5,401","4.01","38","1,322","84","14","20","660"
"12-12-2018","2,424","7,518","5.59","11","1,271","124","15","30","864"
"13-12-2018","2,023","3,311","2.46","5","1,300","71","0","0","389"
"14-12-2018","2,158","5,380","4","24","1,132","44","11","33","553"
"15-12-2018","2,425","8,302","6.17","22","1,227","79","23","37","861"
"16-12-2018","2,048","2,406","1.79","3","1,270","84","0","0","432"
"17-12-2018","2,675","10,528","7.82","53","1,262","80","24","74","1,174"
"18-12-2018","2,377","7,388","5.49","42","1,193","70","14","44","798"
"19-12-2018","1,993","2,437","1.81","1","1,302","46","7","9","333"
"20-12-2018","2,262","6,966","5.18","25","1,314","79","23","24","683"
"21-12-2018","2,016","3,841","2.85","8","1,365","66","1","8","401"
"22-12-2018","2,331","7,367","5.47","31","1,162","95","12","36","787"
"23-12-2018","2,080","2,101","1.56","0","1,356","72","9","3","418"
"24-12-2018","2,188","4,635","3.44","25","1,313","119","6","2","626"
"25-12-2018","2,153","5,133","3.81","34","1,275","55","10","31","555"
"26-12-2018","2,524","10,637","7.9","85","1,269","89","26","56","1,011"
"27-12-2018","2,433","6,858","5.1","20","1,262","144","9","25","907"
"28-12-2018","2,047","3,565","2.65","8","1,330","110","0","0","463"
"29-12-2018","2,263","4,638","3.45","39","1,294","135","4","7","716"
"30-12-2018","2,195","6,698","4.98","26","1,322","82","25","11","636"
"31-12-2018","1,976","2,613","1.94","0","900","88","0","0","360"
