"Date","Keys","Clicks"
"2015-12-09",4437,4216
"2015-12-10",4423,4464
"2015-12-11",4984,2863
"2015-12-12",7263,3402
"2015-12-13",535,520
"2015-12-14",5331,4079
"2015-12-15",34,165
