Date,Activity,Group,Duration,Distance,Steps,Calories
12/4/17,transport,transport,3993,24.509,0,0
12/5/17,transport,transport,2693,9.400,0,0
12/5/17,walking,walking,998,0.492,1314,47
12/6/17,transport,transport,2472,10.383,0,0
12/6/17,walking,walking,2317,1.361,4161,130
12/7/17,transport,transport,3041,7.482,0,0
12/7/17,walking,walking,534,0.245,673,23
12/8/17,transport,transport,1899,5.863,0,0
12/8/17,walking,walking,679,0.438,969,42
12/9/17,transport,transport,12412,174.286,0,0
12/10/17,transport,transport,6386,48.624,0,0
12/10/17,walking,walking,2934,1.838,4186,176
