"Date","Keys","Clicks"
"2017-07-21",632,403
"2017-07-22",12084,1608
"2017-07-23",1818,1004
"2017-07-24",3775,1185
"2017-07-25",3912,966
"2017-07-26",0,0
"2017-07-27",300,112
