,cum_gain_cycling,cum_gain_walking
2018-05-11,,290.6037445068357
2018-05-12,,68.71417236328153
2018-05-13,,125.2385864257812
2018-05-14,,23.435363769531193
2018-05-15,,31.60914611816426
2018-05-16,,142.03987121582023
2018-05-17,,27.56152343750003
2018-05-18,,123.17953491210949
2018-05-19,,11.247848510742301
2018-05-20,,36.70097351074233
2018-05-21,,147.0194931030276
2018-05-22,,143.8428649902341
2018-05-23,,13.285217285156193
2018-05-24,,37.6159973144531
2018-05-25,,153.3292083740236
2018-05-26,,199.05145263671864
2018-05-27,,112.68478393554693
2018-05-28,,152.25128936767587
2018-05-29,,29.541610717773338
2018-05-30,,141.40092468261713
2018-06-01,,15.667239908536516
2018-06-02,,9.417156100273132
2018-06-03,,16.435559704899788
2018-06-04,,323.2188633680345
2018-06-05,,90.01914978027352
2018-06-06,,146.9007415771484
2018-06-07,,145.51606750488287
2018-06-08,,12.857360839843892
2018-06-09,,129.6304831504821
2018-06-10,,111.7634391784668
2018-06-11,,114.86512212455273
2018-06-12,,284.89939498901356
2018-06-13,,145.8721313476562
2018-06-15,,167.7695159912108
2018-06-16,,647.0068817138649
2018-06-17,,92.02210998535136
2018-06-18,,144.67615509033195
2018-06-19,,63.302413940429744
2018-06-20,,14.294594407081675
2018-06-21,,262.2823239564894
2018-06-22,,15.62281799316429
2018-06-23,,11.137069702148438
2018-06-24,,0.4862670898437784
2018-06-25,,142.20802307128912
2018-06-26,,5.660552978515625
2018-06-27,,49.25314331054727
2018-06-28,,151.56713867187494
2018-06-29,,144.82994842529303
2018-06-30,15.628952026367188,190.70530700683577
2018-07-01,,514.5509490966798
2018-07-02,,5.167098999023409
2018-07-03,,5.236140370368957
2018-07-04,,5.200838685035706
2018-07-05,,253.0579223632813
2018-07-06,,81.0501251220704
2018-07-07,0.0,7.248046875000028
2018-07-08,,660.9278717040984
2018-07-10,,140.89707183837908
2018-07-11,,148.0491790771486
