Date,Activity,Group,Duration,Distance,Steps,Calories
7/9/18,transport,transport,4498,14.330,0,0
7/9/18,walking,walking,317,0.163,507,16
7/10/18,transport,transport,2785,9.607,0,0
7/10/18,walking,walking,1783,0.871,2290,83
7/11/18,transport,transport,3252,10.139,0,0
7/11/18,walking,walking,278,0.183,384,17
7/12/18,transport,transport,1379,2.075,0,0
7/12/18,walking,walking,2317,1.683,3621,161
7/13/18,transport,transport,6187,10.556,0,0
7/13/18,walking,walking,33,0.016,50,1
7/14/18,transport,transport,4708,15.411,0,0
7/14/18,walking,walking,1161,0.524,1333,50
7/15/18,transport,transport,2026,6.755,0,0
7/15/18,walking,walking,1094,0.597,1356,57
