Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-03-07,532.4114738541667,,,,,,,,,,,,,,,,,
2019-03-08,1634.5,,,,,,,,,,,,,,,,,
2019-03-09,1691.2538110194118,358.85875177383423,45.5897387,5.2405704,45.5904054,5.2520445,1.0408203955117439,12.350000381469727,0.26694250106811523,1386,75.0,75.0,75.0,24,,27152308,941952,
2019-03-10,1762.871834835143,712.6637763977051,45.5965071,5.228516,45.5971421,5.2287324,1.075931671258873,12.630000114440918,0.07806913554668427,857,,,,21,843922,82586201,1228407,
2019-03-11,1767.6007537549544,1416.1327131986618,48.883515,2.2567687,48.8848159,2.2581228,0.914935386870404,8.350000381469727,0.3175318241119385,2435,,,,29,,74290645,2182889,
2019-03-12,1865.025733525628,2750.724403142929,48.8350567,2.2561255,48.8850962,2.3642516,1.2135310899056013,4.53616189956665,0.2107553482055664,4799,,,,64,,81197210,3826231,
2019-03-13,2021.4101710580694,4784.370592594147,48.835378,2.2383147,48.8916861,2.364163,1.2151519703913782,2.9800000190734863,0.30035170912742615,8039,,,,106,,72896650,6421868,
2019-03-14,1891.5716439910384,2581.4707050323486,,,,,0.7593118124543808,1.6806424856185913,0.3270370662212372,5360,,,,89,,71312897,4266833,
2019-03-15,2131.7336945416973,8036.348560452461,-8.7430346,115.1282642,-8.6401014,115.1690873,1.113722775151434,29.0,0.055407799780368805,9365,,,,131,1124615,70958874,7035170,
2019-03-16,1898.965213709626,6401.770608305931,-8.6540897,115.1176054,-8.6431135,115.1288533,1.8907691853524267,31.0,0.020419789478182793,4392,,,,77,1228123,78245499,3068573,
2019-03-17,2058.9896161678485,3378.0660350322723,-8.6550776,115.0859266,-8.6166117,115.1252152,0.9160988491421638,18.0,0.08042973279953003,6704,,,,87,,77119048,7045607,
2019-03-18,2106.2134968450914,11420.499975919724,-8.656237,115.1192384,-8.6348514,115.1551538,1.7520581004055293,41.0,0.03506658971309662,4951,,,,112,3149152,76413474,4462481,
2019-03-19,1918.7138334380902,10496.866749048233,-8.6535866,115.1268623,-8.6326127,115.1357036,1.1138199697168132,12.300000190734863,0.32554489374160767,1942,,,,69,3088821,81138185,1414898,
2019-03-20,2333.4162369635,8087.792206287384,-8.6391069,115.1310566,-8.5139669,115.2641401,1.1673359825229352,25.0,0.10191787034273148,12594,,,,151,,69644717,11600492,
2019-03-21,2097.326341774326,5921.638335347176,-8.5182382,115.2539691,-8.4951472,115.2639474,0.9470623799523001,6.329999923706055,0.13567450642585754,9292,,,,106,,77584205,7681914,
2019-03-22,1841.4147660427604,2034.9040892720222,-8.518275,115.2614095,-8.5157869,115.2653652,1.3338831576262478,12.729999542236328,0.19126571714878082,3816,,,,47,,78367539,3434337,
2019-03-23,1994.0277817532744,4457.854902148247,-8.6593527,115.1254957,-8.6531256,115.1331157,0.5840978331757823,8.470000267028809,0.08488326519727707,2918,,,,72,2272534,80892948,2997561,236957
2019-03-24,1817.454033087091,1639.1229320764542,-8.6525485,115.1329969,-8.6516702,115.1340479,0.6742986533079939,3.9218146800994873,0.045038722455501556,2877,,,,37,,82764092,3036641,
2019-03-25,1965.870468556753,5928.443986773491,-8.6598835,115.1303904,-8.6452839,115.1412159,0.8754816711654227,12.100000381469727,0.05760490149259567,4698,,,,90,1839260,77933487,3533573,
2019-03-26,1730.260997002276,912.4283113479614,-8.65537,115.1317637,-8.6530715,115.1331938,0.6735714143292983,1.0073368549346924,0.14029113948345184,1657,,,,20,,83044257,1589426,
2019-03-27,1837.164898232341,2524.5359234809875,-8.6555865,115.1317798,-8.6531195,115.1326325,0.5266272806721417,4.378407955169678,0.2055438607931137,3289,,,,58,779726,82400077,2530149,
2019-03-28,1867.1020687410003,4084.5653241872787,-8.6595275,115.1302614,-8.6526408,115.1330316,1.0707317924285216,11.010000228881836,0.01873525232076645,4048,,,,58,544810,81530681,3278204,
2019-03-29,1765.886048426573,1013.2361872196198,-8.655459,115.1259719,-8.6536697,115.1273865,1.165140763251864,5.179999828338623,0.12005091458559036,2518,,,,26,,83784584,2134136,
2019-03-30,2190.8114984645736,4897.023953437805,-8.6635736,115.1308492,-8.6479758,115.1391488,0.7777044032119623,8.739999771118164,0.011736256070435047,5812,,,,123,2652505,74694012,6397619,
2019-03-31,1820.7377969962815,1657.4824010133743,-8.6563252,115.1266268,-8.6463782,115.1364947,0.6586875010624239,6.0,0.25480207800865173,3438,,,,42,,79557184,3045211,
2019-04-01,2035.9626201189776,5206.995069980621,-8.6643729,115.1271982,-8.6527588,115.1465708,0.7537267543691899,9.460000038146973,0.11099700629711151,3995,,,,88,2095406,79347271,4423090,
2019-04-02,1908.6854884387865,4686.95638692379,-8.6593913,115.1268203,-8.6514116,115.1347261,1.1530573983066223,3.8735499382019043,0.08251726627349854,1924,,,,60,2390746,81243682,1924163,
2019-04-03,1898.3415966208925,2779.9950264692307,-8.6615583,115.1281672,-8.6524744,115.1337225,0.5493987257145323,7.840000152587891,0.27380311489105225,3992,,,,57,404265,81254828,3946975,
2019-04-04,1841.8014976303639,2041.8479756116867,-8.6595456,115.1282861,-8.6463687,115.1365063,0.5893614714258262,7.679999828338623,0.0650210976600647,4149,,,,57,,79846138,3440755,
