"Date","Keys","Clicks"
"2015-12-14",5331,4079
"2015-12-15",783,1543
"2015-12-16",987,2820
"2015-12-17",3080,2318
"2015-12-18",4220,6945
"2015-12-19",2582,2663
"2015-12-20",2472,3416
