"Date","Keys","Clicks"
"2016-01-19",5936,5047
"2016-01-20",8124,4558
"2016-01-21",5711,5161
"2016-01-22",6970,6267
"2016-01-23",0,0
"2016-01-24",3290,2256
"2016-01-25",8394,7824
