Date,Type,Name,Start,End,Duration
10/21/17,move,walking,2017-10-21T15:41:00-07:00,2017-10-21T15:51:15-07:00,615
10/21/17,move,transport,2017-10-21T15:51:15-07:00,2017-10-21T16:08:31-07:00,1036
10/21/17,place,Unknown,2017-10-21T16:08:32-07:00,2017-10-21T16:41:17-07:00,1965
10/21/17,move,transport,2017-10-21T16:41:17-07:00,2017-10-21T16:50:25-07:00,548
10/21/17,move,walking,2017-10-21T16:50:25-07:00,2017-10-21T16:52:45-07:00,140
10/21/17,move,transport,2017-10-21T16:52:45-07:00,2017-10-21T16:59:44-07:00,419
10/21/17,place,Unknown,2017-10-21T16:59:45-07:00,2017-10-21T18:09:06-07:00,4161
10/21/17,move,transport,2017-10-21T18:09:06-07:00,2017-10-21T18:13:50-07:00,284
10/21/17,place,Unknown,2017-10-21T18:13:51-07:00,2017-10-21T20:40:26-07:00,8795
10/21/17,place,Unknown,2017-10-21T21:09:14-07:00,2017-10-21T21:58:23-07:00,2949
10/21/17,move,transport,2017-10-21T21:58:23-07:00,2017-10-21T22:05:09-07:00,406
10/21/17,place,Unknown,2017-10-21T22:05:10-07:00,2017-10-22T00:00:00-07:00,6890
10/22/17,place,Unknown,2017-10-22T00:00:00-07:00,2017-10-22T07:42:34-07:00,27754
10/22/17,place,Unknown,2017-10-22T07:42:35-07:00,2017-10-22T09:02:43-07:00,4808
10/23/17,place,Unknown,2017-10-23T13:45:28-07:00,2017-10-23T15:18:05-07:00,5557
10/23/17,move,transport,2017-10-23T15:18:05-07:00,2017-10-23T15:30:07-07:00,722
10/23/17,place,Unknown,2017-10-23T15:30:08-07:00,2017-10-23T15:42:58-07:00,770
10/23/17,move,walking,2017-10-23T15:42:58-07:00,2017-10-23T15:54:36-07:00,698
10/23/17,place,Unknown,2017-10-23T15:54:37-07:00,2017-10-23T17:28:19-07:00,5622
10/23/17,move,walking,2017-10-23T17:28:19-07:00,2017-10-23T17:38:00-07:00,581
10/23/17,place,Unknown,2017-10-23T17:38:01-07:00,2017-10-23T17:51:51-07:00,830
10/23/17,move,transport,2017-10-23T17:51:51-07:00,2017-10-23T18:03:23-07:00,692
10/23/17,place,Unknown,2017-10-23T18:03:24-07:00,2017-10-23T20:00:20-07:00,7016
10/23/17,move,transport,2017-10-23T20:00:20-07:00,2017-10-23T20:06:23-07:00,363
10/23/17,place,Unknown,2017-10-23T20:06:23-07:00,2017-10-23T20:28:20-07:00,1317
10/23/17,move,transport,2017-10-23T20:28:20-07:00,2017-10-23T20:35:46-07:00,446
10/23/17,place,Unknown,2017-10-23T20:35:47-07:00,2017-10-24T00:00:00-07:00,12253
10/24/17,place,Unknown,2017-10-24T00:00:00-07:00,2017-10-24T09:58:45-07:00,35925
10/24/17,move,transport,2017-10-24T09:58:45-07:00,2017-10-24T10:15:25-07:00,1000
10/24/17,place,Unknown,2017-10-24T10:15:25-07:00,2017-10-24T14:42:07-07:00,16002
10/24/17,move,transport,2017-10-24T14:42:07-07:00,2017-10-24T14:53:16-07:00,669
10/24/17,place,Unknown,2017-10-24T14:53:17-07:00,2017-10-24T15:01:02-07:00,465
10/24/17,move,walking,2017-10-24T15:01:02-07:00,2017-10-24T15:11:13-07:00,611
10/24/17,place,Unknown,2017-10-24T15:11:14-07:00,2017-10-24T15:22:30-07:00,676
10/24/17,move,walking,2017-10-24T15:22:30-07:00,2017-10-24T15:36:21-07:00,831
10/24/17,place,Unknown,2017-10-24T15:36:21-07:00,2017-10-24T15:40:20-07:00,239
10/24/17,move,walking,2017-10-24T15:40:20-07:00,2017-10-24T15:55:10-07:00,890
10/24/17,move,transport,2017-10-24T15:55:10-07:00,2017-10-24T16:03:46-07:00,516
10/24/17,place,Unknown,2017-10-24T16:03:47-07:00,2017-10-24T16:08:47-07:00,300
10/24/17,move,transport,2017-10-24T16:08:47-07:00,2017-10-24T16:19:11-07:00,624
10/24/17,place,Unknown,2017-10-24T16:19:12-07:00,2017-10-24T22:22:08-07:00,21776
10/24/17,move,transport,2017-10-24T22:22:08-07:00,2017-10-24T22:34:43-07:00,755
10/24/17,place,Unknown,2017-10-24T22:34:44-07:00,2017-10-25T00:00:00-07:00,5116
10/25/17,place,Unknown,2017-10-25T00:00:00-07:00,2017-10-25T08:39:04-07:00,31144
10/26/17,place,Unknown,2017-10-26T14:00:55-07:00,2017-10-26T14:13:53-07:00,778
10/26/17,move,transport,2017-10-26T14:13:53-07:00,2017-10-26T14:26:01-07:00,728
10/26/17,place,Unknown,2017-10-26T14:26:02-07:00,2017-10-26T14:38:13-07:00,731
10/26/17,place,Unknown,2017-10-26T14:38:14-07:00,2017-10-26T14:53:16-07:00,902
10/26/17,move,walking,2017-10-26T14:53:16-07:00,2017-10-26T15:07:51-07:00,875
10/26/17,place,Unknown,2017-10-26T15:07:52-07:00,2017-10-26T15:11:55-07:00,243
10/26/17,move,transport,2017-10-26T15:11:55-07:00,2017-10-26T15:18:52-07:00,417
10/26/17,place,Unknown,2017-10-26T15:18:53-07:00,2017-10-26T22:55:50-07:00,27417
10/26/17,move,transport,2017-10-26T22:55:50-07:00,2017-10-26T23:03:56-07:00,486
10/26/17,place,Unknown,2017-10-26T23:03:57-07:00,2017-10-27T00:00:00-07:00,3363
10/27/17,place,Unknown,2017-10-27T00:00:00-07:00,2017-10-27T07:18:43-07:00,26323
10/27/17,move,transport,2017-10-27T21:58:33-07:00,2017-10-27T22:06:18-07:00,465
10/27/17,place,Unknown,2017-10-27T22:06:19-07:00,2017-10-28T00:00:00-07:00,6821
10/28/17,place,Unknown,2017-10-28T00:00:00-07:00,2017-10-28T13:06:35-07:00,47195
10/28/17,move,transport,2017-10-28T13:06:35-07:00,2017-10-28T13:23:15-07:00,1000
10/28/17,place,Unknown,2017-10-28T13:23:15-07:00,2017-10-28T14:05:22-07:00,2527
10/28/17,move,transport,2017-10-28T14:05:22-07:00,2017-10-28T14:09:57-07:00,275
10/28/17,place,Unknown,2017-10-28T14:09:58-07:00,2017-10-28T14:55:43-07:00,2745
10/28/17,move,transport,2017-10-28T14:55:43-07:00,2017-10-28T15:09:13-07:00,810
10/28/17,place,Unknown,2017-10-28T15:09:13-07:00,2017-10-28T18:44:24-07:00,12911
10/28/17,move,transport,2017-10-28T18:44:24-07:00,2017-10-28T18:48:10-07:00,226
10/28/17,place,Unknown,2017-10-28T19:39:34-07:00,2017-10-29T00:00:00-07:00,15626
10/29/17,place,Unknown,2017-10-29T00:00:00-07:00,2017-10-29T12:30:24-07:00,45024
10/29/17,move,transport,2017-10-29T12:30:24-07:00,2017-10-29T12:47:04-07:00,1000
10/29/17,place,Unknown,2017-10-29T12:47:04-07:00,2017-10-29T14:27:07-07:00,6003
10/29/17,move,transport,2017-10-29T14:27:07-07:00,2017-10-29T14:40:48-07:00,821
10/29/17,place,Unknown,2017-10-29T14:40:49-07:00,2017-10-29T15:37:43-07:00,3414
10/29/17,move,transport,2017-10-29T15:37:43-07:00,2017-10-29T15:41:03-07:00,200
10/29/17,place,Unknown,2017-10-29T15:41:04-07:00,2017-10-29T16:00:39-07:00,1175
10/29/17,move,transport,2017-10-29T16:00:39-07:00,2017-10-29T16:11:10-07:00,631
10/29/17,move,walking,2017-10-29T16:11:11-07:00,2017-10-29T16:17:34-07:00,383
10/29/17,place,Unknown,2017-10-29T16:17:35-07:00,2017-10-29T16:29:52-07:00,737
10/29/17,move,walking,2017-10-29T16:29:52-07:00,2017-10-29T16:42:44-07:00,772
10/29/17,place,Unknown,2017-10-29T16:42:45-07:00,2017-10-29T19:00:45-07:00,8280
10/29/17,move,transport,2017-10-29T19:00:45-07:00,2017-10-29T19:13:50-07:00,785
10/29/17,place,Unknown,2017-10-29T19:13:51-07:00,2017-10-29T19:27:19-07:00,808
10/29/17,move,transport,2017-10-29T19:27:19-07:00,2017-10-29T19:30:18-07:00,179
10/29/17,place,Unknown,2017-10-29T19:30:19-07:00,2017-10-29T19:47:37-07:00,1038
10/29/17,place,Unknown,2017-10-29T19:47:38-07:00,2017-10-29T21:11:47-07:00,5049
10/30/17,place,Unknown,2017-10-30T12:35:17-07:00,2017-10-30T13:47:49-07:00,4352
10/30/17,move,transport,2017-10-30T13:47:49-07:00,2017-10-30T14:07:06-07:00,1157
10/30/17,place,Unknown,2017-10-30T14:07:07-07:00,2017-10-30T16:21:43-07:00,8076
10/30/17,move,transport,2017-10-30T16:21:43-07:00,2017-10-30T16:31:50-07:00,607
10/30/17,place,Unknown,2017-10-30T16:31:51-07:00,2017-10-30T16:52:18-07:00,1227
10/30/17,move,transport,2017-10-30T16:52:18-07:00,2017-10-30T17:05:51-07:00,813
10/30/17,place,Unknown,2017-10-30T17:05:52-07:00,2017-10-30T22:43:05-07:00,20233
10/30/17,move,transport,2017-10-30T22:43:05-07:00,2017-10-30T22:51:03-07:00,478
10/30/17,place,Unknown,2017-10-30T22:51:04-07:00,2017-10-31T00:00:00-07:00,4136
10/31/17,place,Unknown,2017-10-31T00:00:00-07:00,2017-10-31T08:31:59-07:00,30719
10/31/17,move,transport,2017-10-31T08:31:59-07:00,2017-10-31T08:34:55-07:00,176
10/31/17,place,Unknown,2017-10-31T08:34:56-07:00,2017-10-31T13:34:41-07:00,17985
10/31/17,move,transport,2017-10-31T13:34:41-07:00,2017-10-31T13:36:56-07:00,135
10/31/17,place,Unknown,2017-10-31T13:36:57-07:00,2017-10-31T16:20:50-07:00,9833
10/31/17,move,transport,2017-10-31T16:20:50-07:00,2017-10-31T16:28:09-07:00,439
10/31/17,place,Unknown,2017-10-31T16:28:10-07:00,2017-10-31T16:41:47-07:00,817
10/31/17,move,walking,2017-10-31T16:41:47-07:00,2017-10-31T17:10:01-07:00,1694
10/31/17,place,Unknown,2017-10-31T17:10:02-07:00,2017-10-31T17:13:12-07:00,190
10/31/17,move,walking,2017-10-31T17:13:12-07:00,2017-10-31T17:25:51-07:00,759
10/31/17,place,Unknown,2017-10-31T17:25:52-07:00,2017-10-31T17:27:52-07:00,120
10/31/17,move,walking,2017-10-31T17:27:52-07:00,2017-10-31T17:46:49-07:00,1137
10/31/17,place,Unknown,2017-10-31T17:46:49-07:00,2017-10-31T19:48:55-07:00,7326
