Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000+01:00,00:15:00.000+01:00,,16.92187415796664,,,,,,,,0.9754428815817636,1.7389048337936401,0.6048280596733093,,,,,900000,
00:15:00.000+01:00,00:30:00.000+01:00,,16.92187415796664,,,,,,,,0.8306351171455194,2.442671298980713,0.5302748680114746,,,,,900000,
00:30:00.000+01:00,00:45:00.000+01:00,1,16.92187415796664,56.24828676981865,,,,,,,0.9713967740535736,1.2241992950439453,0.7185942530632019,99,,,,900000,
00:45:00.000+01:00,01:00:00.000+01:00,7,25.624702829782322,297.42303293530665,,,,,,,0.7472229085461808,1.1015758514404297,0.2888149917125702,492,,,,401524,146737
01:00:00.000+01:00,01:15:00.000+01:00,,16.921873522827184,18.843097227934372,,,,,,,,,,29,,,,890022,
01:15:00.000+01:00,01:30:00.000+01:00,,16.921873522827184,,,,,,,,2.5278437519771035,9.202486038208008,0.5350554585456848,,,,,900000,
01:30:00.000+01:00,01:45:00.000+01:00,,16.921873522827184,,,,,,,,2.413279395965575,4.808200359344482,0.545081615447998,,,,,900000,
01:45:00.000+01:00,02:00:00.000+01:00,,16.921873522827184,,,,,,,,1.0908051971476052,3.7143850326538086,0.5189456939697266,,,,,900000,
02:00:00.000+01:00,02:15:00.000+01:00,,16.921873522827184,,,,,,,,0.8401033878326416,0.8401033878326416,0.8401033878326416,,,,,900000,
02:15:00.000+01:00,02:30:00.000+01:00,,16.921873522827184,,,,,,,,,,,,,,,900000,
02:30:00.000+01:00,02:45:00.000+01:00,,16.921873522827184,,,,,,,,,,,,,,,900000,
02:45:00.000+01:00,03:00:00.000+01:00,1,16.921873522827184,52.05379819869995,,,,,,,0.48030674653341526,0.5966047048568726,0.33367815613746643,78,,,,900000,
