Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-03-23,,,,1994.0277817532744,34.0,34,-8.6593527,115.1254957,-8.6531256,115.1331157,2918,4457.854902148247,0.5840978331757823,8.470000267028809,0.08488326519727707,72,2272534,80892948,2997561,236957
2019-03-24,,,,1817.454033087091,2.0,2,-8.6525485,115.1329969,-8.6516702,115.1340479,2877,1639.1229320764542,0.6742986533079939,3.9218146800994873,0.045038722455501556,37,,82764092,3036641,
2019-03-25,,,,1965.870468556753,30.0,30,-8.6598835,115.1303904,-8.6452839,115.1412159,4698,5928.443986773491,0.8754816711654227,12.100000381469727,0.05760490149259567,90,1839260,77933487,3533573,
2019-03-26,,,,1730.260997002276,,,-8.65537,115.1317637,-8.6530715,115.1331938,1657,912.4283113479614,0.6735714143292983,1.0073368549346924,0.14029113948345184,20,,83044257,1589426,
2019-03-27,,,,1837.164898232341,12.0,12,-8.6555865,115.1317798,-8.6531195,115.1326325,3289,2524.5359234809875,0.5266272806721417,4.378407955169678,0.2055438607931137,58,779726,82400077,2530149,
2019-03-28,,,,1867.1020763703948,8.0,8,-8.6595275,115.1302614,-8.6526408,115.1330316,4048,4084.5653241872787,1.0707317924285216,11.010000228881836,0.01873525232076645,58,544810,81530681,3278204,
2019-03-29,,,,1765.8860407971786,2.0,2,-8.655459,115.1259719,-8.6536697,115.1273865,2518,1013.2361872196198,1.165140763251864,5.179999828338623,0.12005091458559036,26,,83784584,2134136,
2019-03-30,,,,2190.8114984645736,43.0,43,-8.6635736,115.1308492,-8.6479758,115.1391488,5812,4897.023953437805,0.7777044032119623,8.739999771118164,0.011736256070435047,123,2652505,74694012,6397619,
2019-03-31,,,,1820.737789366887,1.0,1,-8.6563252,115.1266268,-8.6463782,115.1364947,3438,1657.4824010133743,0.6586875010624239,6.0,0.25480207800865173,42,,79557184,3045211,
2019-04-01,,,,2035.9626277483721,32.0,32,-8.6643729,115.1271982,-8.6527588,115.1465708,3995,5206.995069980621,0.7537267543691899,9.460000038146973,0.11099700629711151,88,2095406,79347271,4423090,
2019-04-02,,,,1908.6854884387865,38.0,38,-8.6593913,115.1268203,-8.6514116,115.1347261,1924,4686.95638692379,1.1530573983066223,3.8735499382019043,0.08251726627349854,60,2390746,81243682,1924163,
2019-04-03,,,,1898.341588991498,7.0,7,-8.6615583,115.1281672,-8.6524744,115.1337225,3992,2779.9950264692307,0.5493987257145323,7.840000152587891,0.27380311489105225,57,404265,81254828,3946975,
2019-04-04,,,,1841.8015052597584,2.0,2,-8.6595456,115.1282861,-8.6463687,115.1365063,4149,2041.8479756116867,0.5893614714258262,7.679999828338623,0.0650210976600647,57,,79846138,3440755,
2019-04-05,,,,1693.1236337231574,,,,,,,762,228.4904546737671,1.0384008447186988,4.900000095367432,0.2558199167251587,8,,84442399,973026,
2019-04-06,,,,2481.147273026721,108.0,108,-8.6597864,115.1222354,-8.2641687,115.183389,7961,11958.916425585747,1.1829023599338258,12.119999885559082,0.024219201877713203,192,6167915,60560079,7458035,
2019-04-07,,,,1789.8141436423173,7.0,7,-8.6550751,115.130863,-8.6453613,115.1411696,1121,3831.0258328318596,0.6122646387627427,1.5099999904632568,0.28645190596580505,22,484127,52424361,1957332,
2019-04-08,,,,1911.4650011295998,22.0,22,-8.6598054,115.1298645,-8.645326,115.1411091,2929,5335.844934225082,0.706400151878969,6.852054119110107,0.12924350798130035,58,1481861,81269928,3012676,
2019-04-09,,,,1739.2003837095938,,,,,,,1466,1013.6354713439941,0.6414928196418598,10.140000343322754,0.29458045959472656,23,,83918170,1515850,97371
2019-04-10,,,,1996.1628058766908,5.0,5,-8.7446957,115.1660662,-8.7314336,115.178671,5606,3289.332841783762,33.97797225233808,218.4499969482422,0.26687535643577576,77,,66611380,5820542,
2019-04-11,,,,1945.0585915347056,21.0,21,-13.1021233,130.7823498,-12.47117,130.9832879,7664,3126.1516548991203,5.207839637052449,37.279998779296875,0.2726103663444519,86,,72038253,5151289,
2019-04-12,,,,2453.4851861203815,10.0,10,-13.2055588,130.6818237,-13.161738,130.7142859,15342,8394.525087699294,5.914499064224841,102.0,0.2674334645271301,214,,66188391,13593375,
2019-04-13,,,,2226.7502652986996,12.0,12,-12.7105197,130.830722,-12.4410562,130.9936222,9114,6117.211788833141,6.109323026747908,93.0,0.06901291757822037,146,764092,63917426,9013137,
2019-04-14,,,,2087.838048859927,2.0,2,-12.3625294,130.8655929,-12.3313109,130.9131165,8476,4409.212477520108,1.7119745444285008,23.299999237060547,0.2558199167251587,118,,70472211,7515630,
2019-04-15,,,,2214.6293319289052,83.0,83,-8.7395922,115.1272668,-8.6514431,115.167962,5070,12838.005616307259,1.020179668532951,14.1899995803833,0.017362339422106743,124,4548597,73180009,4763849,
2019-04-16,,,,1736.9952086939113,3.0,3,,,,,1405,2138.4677562713623,2.5050582632901555,5.789604663848877,0.3248315751552582,18,279544,84302472,1342461,
2019-04-17,,,,1762.8893398322414,1.0,1,-8.658088,115.1238826,-8.6539633,115.1285104,3390,1641.070421218872,0.48961910025799105,4.400000095367432,0.2456119954586029,40,,83849352,2130985,
2019-04-18,,,,1815.318094253887,,,-8.6576194,115.1234861,-8.6535803,115.1280382,3540,2312.321571826935,1.6074216512783919,6.019999980926514,0.033046141266822815,38,,76554621,2887293,
2019-04-19,,,,1871.2295724674,34.0,34,-8.6594134,115.125845,-8.6528723,115.1310962,1413,1705.001352906227,0.7327723133614501,2.454042911529541,0.08148718625307083,50,2116659,55554631,1666156,
2019-04-20,,,,1878.278192280619,42.0,42,-8.6550264,115.130407,-8.643107,115.1466169,1257,7003.374131679535,1.5344646608012185,12.25,0.03756474703550339,58,2655254,80554459,1085695,
2019-04-21,,,,2005.2967304844071,37.0,37,-8.6747292,115.1299965,-8.6513719,115.1477331,4976,11933.189125478268,1.8471827210658447,12.59000015258789,0.019242363050580025,94,2324091,79916008,3669602,
2019-04-22,,,,1831.8015077463044,,,-8.6626427,115.1276833,-8.6572986,115.1339115,4531,2329.7901287078857,1.0521519264441348,5.21999979019165,0.09276274591684341,55,,82158880,3274774,
2019-04-23,,,,1907.5596487836751,22.0,22,-8.6622193,115.1282176,-8.6527565,115.1334551,5584,2989.3805594444275,1.8898658869599314,6.090000152587891,0.12166845798492432,86,1108251,79905136,3347305,
2019-04-24,,,,2099.111039751753,90.0,90,-8.6598789,115.126725,-8.6533677,115.1321278,2100,2709.419249534607,0.6381223475153497,2.990617513656616,0.01020380761474371,117,5641622,75303095,1679753,
2019-04-25,,,,1765.757806617102,,,-8.6598961,115.129609,-8.6425512,115.1365121,2247,1342.1473927497864,0.5704168558713092,1.1249479055404663,0.24253761768341064,29,,84065793,2178595,
2019-04-26,,,,1808.7952539828793,20.0,20,-8.6549211,115.1268716,-8.6524303,115.130774,1681,2820.171838402748,0.9675075533010729,7.420000076293945,0.2152942568063736,38,1287448,83186624,1516441,
2019-04-27,,,,1912.0152943800376,21.0,21,-8.6549089,115.1253455,-8.6537126,115.1307046,3128,3156.2980008125305,0.7857593507168907,3.304978847503662,0.09967249631881714,60,1362361,80654448,3149573,
2019-04-28,,,,1845.606390207655,,,-8.3404265,114.7500607,-8.3388587,114.7521801,3415,1427.5919744968414,4.171242990752256,36.0,0.049680326133966446,47,,63709859,3503908,
2019-04-29,,,,2212.060568936775,7.0,7,-8.1576114,114.4729761,-8.092863,114.5119566,11014,6103.99098443985,2.7389484764583365,20.399999618530273,0.06347458809614182,143,,58901730,9586253,
2019-04-30,,,,2034.2800252213308,21.0,19,-8.320002,115.0394218,-8.3173304,115.0465617,6929,4052.7848720550537,5.618581635980272,50.0,0.11788049340248108,88,,60191542,6230542,172749
2019-05-01,,,,2095.499250103374,61.0,61,-8.660264,115.128422,-8.6369175,115.1557073,2949,9569.903805911541,1.1751993002932233,12.4399995803833,0.0500679537653923,100,3955660,78174880,3384627,
2019-05-02,,,,1747.6277873953966,9.0,9,,,,,1453,705.5579817295074,0.843022930386496,9.84000015258789,0.2749665081501007,25,621773,83799511,1212904,
2019-05-03,,,,1839.6397189462525,25.0,25,-8.6549199,115.1307243,-8.6549199,115.1307243,1659,1009.0566490888596,1.9664025042154165,22.760000228881836,0.2517201006412506,47,1547553,74267231,1632218,
2019-05-04,,,,1853.64871754474,1.0,1,-8.6619594,115.1278755,-8.6575117,115.1331307,4616,2463.764483690262,1.487530970162381,8.0,0.26694250106811523,55,,79752637,3637395,
2019-05-05,,,,2113.2733591865253,44.0,44,-8.6744645,115.1301047,-8.6514564,115.1478246,6525,12897.306900978088,0.8622479043558209,14.039999961853027,0.07474904507398605,119,2563322,71391494,5206005,
2019-05-06,,,,1951.8658931650552,18.0,18,-8.6614962,115.1329409,-8.6614239,115.1331443,4533,2834.123064994812,0.6363878286523089,3.430000066757202,0.2564597725868225,73,932241,52262566,4209566,
2019-05-07,,,,2039.1954809328759,58.0,58,-8.6624152,115.1268534,-8.6515601,115.1336111,3602,2894.1640479564667,1.2656431620001243,10.40999984741211,0.2996425926685333,99,3300363,78853048,3188460,
2019-05-08,,,,1941.8014623039414,30.0,30,-8.6595321,115.1282287,-8.6548203,115.1307266,3045,2159.521434187889,1.043394248234303,8.180000305175781,0.2660291790962219,69,1853373,80652118,3102770,
2019-05-09,,,,1703.594325793365,,,,,,,2380,1254.0161554813385,1.015116630004707,3.483903169631958,0.3650287687778473,32,,81182717,860550,
2019-05-10,,,,1735.9825969455171,15.0,15,-8.6551115,115.125603,-8.6527793,115.1309556,1046,1959.4843344688416,0.6819240726158315,2.50036358833313,0.2660711705684662,32,993533,81370469,622148,
2019-05-11,,,,2126.997867214271,65.0,65,-8.6991153,115.4295496,-8.6635033,115.4668163,5132,7402.330563187599,1.7120581709087586,35.0,0.04603198170661926,119,3854949,60200206,3911844,
2019-05-12,,,,2204.0614195268104,52.0,52,-8.7523968,115.437525,-8.6635915,115.4746024,10600,12376.471981048584,2.0625138348887417,39.0,0.04910024628043175,178,2624138,32239859,6624669,
2019-05-13,,,,1815.8744804407172,3.0,3,,,,,4656,2326.3164343833923,0.7210632103921487,5.78000020980835,0.24896767735481262,57,,74895686,2694910,132067
2019-05-14,,,,1715.4180059900643,15.0,15,,,,,749,168.57668948173523,2.922594914829165,12.319999694824219,0.4229215383529663,22,995311,78983133,278921,
2019-05-15,,,,1668.9504059825408,,,,,,,1402,253.25093734264374,0.723822726463744,1.2799999713897705,0.33367815613746643,19,,77343823,571804,
2019-05-16,,,,1649.1533132837687,,,,,,,546,221.0985336303711,0.9853811272162633,10.75,0.30793777108192444,6,,77495038,209502,
2019-05-17,,,,1648.2074612709932,,,,,,,847,131.07107639312744,1.4628066739797807,6.690000057220459,0.3294380009174347,10,,82076301,227518,
2019-05-18,,,,1672.0751564831514,,,,,,,1348,311.2701784670353,0.8724132798817711,6.71999979019165,0.265473335981369,20,,75476068,623667,
