Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
11:00:00.000+01:00,11:15:00.000+01:00,15,56.861023741542525,817.2428236704357,2.0,2,-8.6544587,115.1247389,-8.6544587,115.1247389,0.9278189819369194,1.5927895307540894,0.33367815613746643,1253,,,,,673408
11:15:00.000+01:00,11:30:00.000+01:00,5,44.61530032737237,311.5211052034671,1.0,1,-8.6581002,115.1274654,-8.6570974,115.12875,0.5889785639808273,1.093788504600525,0.293967604637146,511,,,,433065,466935
11:30:00.000+01:00,11:45:00.000+01:00,14,65.6215822367219,863.4558692721292,,,-8.6594184,115.1269865,-8.6568925,115.1303348,1.001884880716726,1.490289330482483,0.5241203308105469,1256,,,,60708,821118
11:45:00.000+01:00,12:00:00.000+01:00,10,46.19440990992865,454.30727689248675,1.0,1,-8.6553102,115.1247866,-8.6546438,115.1258394,0.5485992953878402,0.8205909729003906,0.27806511521339417,764,,,,406439,493561
12:00:00.000+01:00,12:15:00.000+01:00,9,30.702518574085925,411.0607189256292,,,-8.6546231,115.1241148,-8.6482528,115.1269292,0.5819212201779198,1.087557077407837,0.33367812633514404,654,,,,78017,232353
12:15:00.000+01:00,12:30:00.000+01:00,1,20.15929493879883,65.18079633918474,,,,,,,0.8165606963417339,4.3235578536987305,0.5126795172691345,114,,,,845414,54586
12:30:00.000+01:00,12:45:00.000+01:00,,16.921873549677688,,,,,,,,,,,10,,,,900000,
12:45:00.000+01:00,13:00:00.000+01:00,,16.921873549677688,,,,,,,,,,,,,,,900000,
13:00:00.000+01:00,13:15:00.000+01:00,,16.921873549677688,3.6668484659133798,,,,,,,,,,5,,,,900000,
13:15:00.000+01:00,13:30:00.000+01:00,1,16.921873549677688,28.858878326104236,,,,,,,0.33367815613746643,0.33367815613746643,0.33367815613746643,65,,,,590600,
13:30:00.000+01:00,13:45:00.000+01:00,,16.921873549677688,12.85450673421224,,,,,,,0.43032723665237427,0.5714667439460754,0.2891877293586731,20,,,,900000,
13:45:00.000+01:00,14:00:00.000+01:00,1,16.921873549677688,68.73770523071289,,,,,,,0.41212028834360076,0.8250312805175781,0.32726484537124634,161,,,,900000,
