Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2019-03-07,,941.0364738541667,,,,,,,,,,,,,,,,,,
2019-03-08,,1634.5,,,,,,,,,,,,,,,,,,
2019-03-09,25,1693.0665247344118,361.52817726135254,,,45.5897387,5.2405704,45.5904054,5.2520445,1.0093110723240173,12.350000381469727,0.26694250106811523,1489,75.0,75.0,75.0,,48722221,972039,
2019-03-10,20,1767.2118369963518,727.3456158638,13.0,13,45.5965071,5.228516,45.5971421,5.2287324,0.9583891369340126,12.630000114440918,0.07806913554668427,790,,,,843922,81550359,1300442,
2019-03-11,43,1804.358728521549,1945.3595554828644,3.0,3,48.883409,2.2561255,48.8850962,2.2589289,1.115659761737684,8.350000381469727,0.2107553482055664,3606,,,,,74644348,2792993,
2019-03-12,88,1964.4809197888553,3797.550964951515,12.0,12,48.8350567,2.2383147,48.8916861,2.3642516,1.0675574743420588,4.0,0.26035812497138977,6215,,,,,79148865,5476969,
2019-03-13,89,1937.8823856181189,3732.931114912033,17.0,17,48.835378,2.2559904,48.8837105,2.364163,0.7849669709047882,2.9800000190734863,0.30035170912742615,6890,,,,,74680636,5035489,
2019-03-14,94,1933.722171478014,3501.1380050182343,8.0,8,-8.7430346,115.1651244,-8.739098,115.1690873,0.5733287386490322,6.0,0.055407799780368805,5982,,,,,70613290,4966440,
2019-03-15,105,2030.7450603298523,6574.716069102287,36.0,36,-8.7427929,115.1282642,-8.6401014,115.1682608,1.6325772389506947,29.0,0.05597204715013504,7394,,,,1124615,72635066,5358978,
2019-03-16,77,1898.965213709626,6401.770608305931,18.0,18,-8.6540897,115.1176054,-8.6431135,115.1288533,1.8907691853524267,31.0,0.020419789478182793,4267,,,,1228123,78245499,3068573,
2019-03-17,87,2058.9896161678485,3378.0660350322723,5.0,5,-8.6550776,115.0859266,-8.6166117,115.1252152,0.9160988491421638,18.0,0.08042973279953003,6704,,,,,77119048,7045607,
2019-03-18,112,2106.2134968450914,11420.499975919724,51.0,51,-8.656237,115.1192384,-8.6348514,115.1551538,1.7520581004055293,41.0,0.03506658971309662,4951,,,,3149152,76413474,4462481,
2019-03-19,69,1918.7138334380902,10496.866749048233,47.0,47,-8.6535866,115.1268623,-8.6326127,115.1357036,1.1138199697168132,12.300000190734863,0.32554489374160767,1942,,,,3088821,81138185,1414898,
