"Date","Keys","Clicks"
"2017-02-17",12428,7639
"2017-02-18",8794,1421
"2017-02-19",2688,721
"2017-02-20",200,71
"2017-02-21",4651,3978
"2017-02-22",4421,5667
"2017-02-23",17,34
