Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
12/10/17,walking,walking,2017-12-10T13:57:04-07:00,2017-12-10T13:59:59-07:00,175,0.125,268,12
12/10/17,walking,walking,2017-12-10T14:13:34-07:00,2017-12-10T14:14:03-07:00,29,0.012,40,1
12/10/17,walking,walking,2017-12-10T15:30:44-07:00,2017-12-10T15:31:13-07:00,29,0.012,40,1
12/10/17,walking,walking,2017-12-10T15:55:55-07:00,2017-12-10T16:02:53-07:00,418,0.269,604,26
12/10/17,walking,walking,2017-12-10T16:03:38-07:00,2017-12-10T16:04:31-07:00,53,0.025,80,2
12/10/17,walking,walking,2017-12-10T17:23:01-07:00,2017-12-10T17:29:50-07:00,409,0.258,656,25
12/10/17,walking,walking,2017-12-10T17:49:39-07:00,2017-12-10T17:52:27-07:00,168,0.117,252,11
12/10/17,walking,walking,2017-12-10T18:00:00-07:00,2017-12-10T18:03:36-07:00,216,0.181,389,17
12/10/17,transport,transport,2017-12-10T18:05:29-07:00,2017-12-10T18:34:11-07:00,1722,17.452,0,0
12/10/17,transport,transport,2017-12-10T20:22:58-07:00,2017-12-10T20:31:12-07:00,494,5.946,0,0
12/10/17,walking,walking,2017-12-10T22:26:55-07:00,2017-12-10T22:27:08-07:00,13,0.006,20,1
12/10/17,transport,transport,2017-12-10T22:34:06-07:00,2017-12-10T22:40:26-07:00,380,1.568,0,0
